Date,Max_Temp,Min_Temp,Avg_Temp
9/18/13,45,18.6,37.4
9/24/13,85.5,54.1,72.5
9/25/13,77.8,52,64
9/26/13,76.4,55.1,64.8
9/27/13,80.8,53.1,65.8
9/28/13,85.3,46.2,65.5
9/29/13,78.4,56.8,66.9
9/30/13,79.1,61,68.6
10/1/13,78.2,48.7,62.8
10/2/13,82.8,54.9,67.4
10/3/13,74.4,55.9,65.2
10/4/13,81.8,58.3,68.3
10/5/13,85.4,52.2,67
10/6/13,86,45.9,64.6
10/7/13,87.8,49.9,67.3
10/8/13,79.9,55.7,66.2
10/9/13,77,51,65.2
10/10/13,76.8,50.1,62.2
10/11/13,79.5,43.2,60.2
10/12/13,78.7,43.3,59.7
10/13/13,76.6,54.3,63.8
10/14/13,79.3,51.5,63.1
10/15/13,81.7,51,66.9
10/16/13,84,48.7,63.1
10/17/13,86.1,48.4,63
10/18/13,84.9,43.2,61
10/19/13,86.7,47.2,63.5
10/20/13,87.6,47.6,65.1
10/21/13,83.3,44.2,62.3
10/22/13,85,46.4,63.1
10/23/13,89.7,44.9,63.1
10/24/13,74.8,41.8,57.7
10/25/13,79.7,41.9,57.4
10/26/13,81.4,43,59.2
10/27/13,68.2,41.7,54.2
10/28/13,67.7,43.6,55
10/29/13,68.6,47.1,55.7
10/30/13,72,42.2,54.1
10/31/13,74.2,40.3,54.6
11/1/13,78.3,41.4,56.3
11/2/13,78,40.8,58
11/3/13,65.5,52.7,58.4
11/4/13,70.1,52.5,60.1
11/5/13,74.2,46.7,59.6
11/6/13,74.8,42.6,56
11/7/13,76.1,47.5,59.2
11/8/13,78.3,41.9,57.9
11/9/13,77.8,45.1,57.5
11/10/13,77,43.1,56.4
11/11/13,73.2,38.1,53.9
11/12/13,74.4,46.5,59.2
11/13/13,80.8,41.6,57.8
11/14/13,70,44,53.8
11/15/13,70.1,42.2,55.3
11/16/13,67.8,42.1,53.2
11/17/13,68.1,35.9,49.5
11/18/13,62.6,37.5,50.4
11/19/13,60.4,50.4,54.9
11/20/13,60.5,54.1,55.7
11/21/13,60.1,50.1,53.7
11/22/13,70.3,47.2,57.3
11/23/13,63.6,36.4,49
11/24/13,65,38.3,47.4
11/25/13,64.9,40.1,48.2
11/26/13,61.7,40.1,49.3
11/27/13,64.2,42.8,52.6
11/28/13,71.6,47.2,56.2
11/29/13,71.7,39.6,51.8
11/30/13,70.2,39.6,50.6
12/1/13,70.2,36.7,49.7
12/2/13,67.9,37.9,51.5
12/3/13,58.7,43.2,52.2
12/4/13,51,28.9,40.7
12/5/13,51.5,27.4,38.5
12/6/13,44.9,23.1,36.7
12/7/13,47.5,30.4,38.9
12/8/13,43.6,30.3,35.4
12/9/13,49.3,26.2,36.8
12/10/13,52.7,26.6,38.5
12/11/13,56.6,26.3,38.3
12/12/13,60.6,28.9,41.7
12/13/13,63.3,29.4,43.1
12/14/13,61.5,28.3,41.4
12/15/13,63.1,34.1,44.7
12/16/13,64.7,32.4,44.6
12/17/13,64,34.8,46.4
12/18/13,65.8,38,48.8
12/19/13,59.5,39.1,49.6
12/20/13,65.3,40.6,50.6
12/21/13,63.5,33.1,44.7
12/22/13,62.3,30,44.7
12/23/13,64.1,32,46.6
12/24/13,65.7,34.6,46.7
12/25/13,64.3,30.6,43.5
12/26/13,66.6,29.6,44.2
12/27/13,58.3,30.5,43
12/28/13,69.7,32.9,52.5
12/29/13,63.5,31.6,47.6
12/30/13,62.7,32.6,45.4
12/31/13,65.5,34.3,46.6
1/1/14,63.5,30.3,43.9
1/2/14,69,35.2,48.5
1/3/14,66.6,32.1,46.5
1/4/14,68.4,33.7,52
1/5/14,67.4,33.4,48.3
1/6/14,62,33.7,46.4
1/7/14,64.1,35.2,47.5
1/8/14,58.6,33.6,45.3
1/9/14,62.5,40,48.2
1/10/14,64.3,34.7,47.3
1/11/14,58.5,40,49.2
1/12/14,61.3,36.7,51.1
1/13/14,64.9,34.5,49.3
1/14/14,66.5,33.8,47.8
1/15/14,69.4,32.4,47.4
1/16/14,71,29.6,48
1/17/14,71.5,31.7,47.4
1/18/14,71.7,29.5,46.7
1/19/14,69.6,33,48.5
1/20/14,70.2,32.2,49.5
1/21/14,71.4,32.9,48.8
1/22/14,71.3,30.2,46.9
1/23/14,71.6,34.3,50.8
1/24/14,75.2,44.9,57.6
1/25/14,75.4,42.3,57.1
1/26/14,67.6,37.4,49.1
1/27/14,65.2,35,50.7
1/28/14,70.1,46.1,57.3
1/29/14,65.2,49,57.2
1/30/14,64.3,50.8,55.6
1/31/14,62.5,37.7,50.1
2/1/14,61.5,39.6,49
2/2/14,47,37.5,43.4
2/3/14,58.9,36.5,46.5
2/4/14,56.7,33,43.9
2/5/14,54.8,29.8,43.4
2/6/14,50.7,44.2,47.4
2/7/14,52.5,46.7,49.4
2/8/14,55.2,50.9,53.2
2/9/14,59.1,55.2,56.7
2/10/14,64.7,49.2,56.9
2/11/14,62.3,44.6,53.1
2/12/14,63.8,46.7,54.2
2/13/14,69.4,50.9,58.8
2/14/14,67.9,52.2,58.3
2/15/14,63.2,51.3,56.1
2/16/14,65.4,44.4,55.7
2/17/14,65.1,36.9,51.3
2/18/14,65.6,44.5,54.1
2/19/14,66.2,48.1,57.2
2/20/14,68.6,46.2,56.4
2/21/14,72.5,43,56.7
2/22/14,73.8,42.7,57.3
2/23/14,74.5,38.3,55.5
2/24/14,75,41,56.5
2/25/14,72.7,43.3,57
2/26/14,60.4,51.5,55.4
2/27/14,64.7,51.6,57.3
2/28/14,60.2,51.7,54.8
3/1/14,67.2,51,57.4
3/2/14,60.5,47.9,54.3
3/3/14,59.1,48.6,53.9
3/4/14,61.6,52.2,55.6
3/5/14,67.2,53,59.8
3/6/14,67.9,48,58.5
3/7/14,71.3,48.2,57.7
3/8/14,69.2,42,57.1
3/9/14,68.5,56.5,61.6
3/10/14,68.9,52.7,60.7
3/11/14,70.8,51,59.3
3/12/14,75.7,50.4,61.6
3/13/14,78.1,50.6,62
3/14/14,75.8,41.8,56.8
3/15/14,81.7,49.7,65
3/16/14,79,45.9,61.1
3/17/14,68.9,47.6,59.3
3/18/14,72.5,47.7,60
3/19/14,74.4,46,59
3/20/14,78.4,46.3,60.6
3/21/14,76.6,43.3,59.2
3/22/14,77.5,44.6,59.6
3/23/14,78.4,40.8,58.5
3/24/14,81.1,43.4,60.9
3/25/14,63.6,44,54.8
3/26/14,62.8,48.6,53.6
3/27/14,62.4,49.3,54.9
3/28/14,67.7,51.5,58.9
3/29/14,58.7,51,56
3/30/14,64.3,39.9,52.3
3/31/14,56.5,42.7,47.7
4/1/14,55.3,43.6,47.2
4/2/14,63.2,43.5,51.8
4/3/14,65.8,44.5,54.1
4/4/14,60.3,44.7,51.8
4/5/14,71.7,42.5,56
4/6/14,79.3,47.2,63.2
4/7/14,82.4,51.7,65.4
4/8/14,84.4,52,68.2
4/9/14,81.3,52.6,66.4
4/10/14,84.5,44.3,64.6
