VARIETY,ROW,PLANT,ID,DATE,LOG,A,g,Leaf_potential,Stem_potential,Notes,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,Leaf_weight3_mg
,12,3,12.3,4-Aug-15,,,,10.1,5.2,,,,,,
,12,5,12.5,4-Aug-15,,,,6.5,4,,,,,,
,12,7,12.7,4-Aug-15,,,,9.5,6.8,,,,,,
,13,3,13.3,4-Aug-15,,,,8.8,7,,,,,,
,13,5,13.5,4-Aug-15,,,,12,5,,,,,,
,13,8,13.8,4-Aug-15,,,,8.5,6.3,,,,,,
,13,9,13.9,4-Aug-15,,,,7.2,4.6,,,,,,
,14,1,14.1,4-Aug-15,,,,8.5,6.3,,,,,,
,14,3,14.3,4-Aug-15,,,,7.2,4.6,,,,,,
,15,3,15.3,4-Aug-15,,,,8.5,5.8,,,,,,
,16,1,16.1,4-Aug-15,,,,7.5,4.5,,,,,,
,17,2,17.2,4-Aug-15,,,,8.5,5.5,,,,,,
,17,9,17.9,4-Aug-15,,,,5.9,4.1,,,,,,
,18,5,18.5,4-Aug-15,,,,6.1,4.5,,,,,,
,18,7,18.7,4-Aug-15,,,,7.35,5.9,,,,,,
,19,9,19.9,4-Aug-15,,,,6.2,3.75,,,,,,
,20,2,20.2,4-Aug-15,,,,5.5,3.9,,,,,,
,20,5,20.5,4-Aug-15,,,,7.1,4.9,,,,,,
,22,7,22.7,4-Aug-15,,,,7.8,5.25,,,,,,
,23,7,23.7,4-Aug-15,,,,4.9,3.95,,,,,,
,24,1,24.1,4-Aug-15,,,,7.1,4.2,,,,,,
,24,9,24.9,4-Aug-15,,,,7,5.1,,,,,,
,25,9,25.9,4-Aug-15,,,,5.4,3.9,,,,,,
,26,5,26.5,4-Aug-15,,,,5.4,4.5,,,,,,
,32,3,32.3,4-Aug-15,,,,6.35,5.45,,,,,,
,34,5,34.5,4-Aug-15,,,,11.4,10.9,,,,,,
,34,7,34.7,4-Aug-15,,,,7.5,5.6,,,,,,
,38,7,38.7,4-Aug-15,,,,6.6,5.05,,,,,,
,42,7,42.7,4-Aug-15,,,,6.25,4.25,,,,,,
,44,1,44.1,4-Aug-15,,,,6.5,5.5,,,,,,
,12,4,12.4,5-Aug-15,,,,9.35,5.5,,,,,,
,12,6,12.6,5-Aug-15,,,,9.4,6,,,,,,
,12,8,12.8,5-Aug-15,,,,8.5,6,,,,,,
,13,4,13.4,5-Aug-15,,,,9.5,7.5,,,,,,
,13,6,13.6,5-Aug-15,,,,9.5,7.35,,,,,,
,13,8,13.8,5-Aug-15,,,,8.7,9.8,,,,,,
,13,10,13.1,5-Aug-15,,,,11.8,7,,,,,,
,14,1,14.1,5-Aug-15,,,,6.5,7.8,,,,,,
,14,4,14.4,5-Aug-15,,,,10.7,8,,,,,,
,15,4,15.4,5-Aug-15,,,,9.4,6.5,,,,,,
,16,2,16.2,5-Aug-15,,,,7.5,5.2,,,,,,
,17,2,17.2,5-Aug-15,,,,7.7,5.5,,,,,,
,17,10,17.1,5-Aug-15,,,,7.4,5.5,,,,,,
,18,6,18.6,5-Aug-15,,,,8.2,6,,,,,,
,18,8,18.8,5-Aug-15,,,,7.25,6.2,,,,,,
,19,10,19.1,5-Aug-15,,,,7.2,6.5,,,,,,
,20,2,20.2,5-Aug-15,,,,8.5,4.5,,,,,,
,20,6,20.6,5-Aug-15,,,,8.7,5.6,,,,,,
,22,8,22.8,5-Aug-15,,,,7.5,4.8,,,,,,
,23,8,23.8,5-Aug-15,,,,7.45,5,,,,,,
,24,2,24.2,5-Aug-15,,,,7.3,5.75,,,,,,
,24,10,24.1,5-Aug-15,,,,6.25,4.65,,,,,,
,25,10,25.1,5-Aug-15,,,,5.8,4.5,,,,,,
,26,6,26.6,5-Aug-15,,,,7.9,6,,,,,,
,32,4,32.4,5-Aug-15,,,,11,7.25,,,,,,
,34,6,34.6,5-Aug-15,,,,12,10.25,,,,,,
,34,8,34.8,5-Aug-15,,,,10.65,6.5,,,,,,
,38,8,38.8,5-Aug-15,,,,8,5.9,,,,,,
,42,8,42.8,5-Aug-15,,,,9.3,6.95,,,,,,
,44,1,44.1,5-Aug-15,,,,8.2,5.4,,,,,,
,44,2,44.2,5-Aug-15,,,,8.5,6,,,,,,
,12,3,12.3,6-Aug-15,,,,9,6.65,,,,,,
,12,5,12.5,6-Aug-15,,,,8.5,6.1,,,,,,
,12,7,12.7,6-Aug-15,,,,8,5.5,,,,,,
,13,3,13.3,6-Aug-15,,,,8,6,,,,,,
,13,5,13.5,6-Aug-15,,,,8.5,6,,,,,,
,13,8,13.8,6-Aug-15,,,,8.5,6.2,,,,,,
,13,9,13.9,6-Aug-15,,,,9,5.75,,,,,,
,14,1,14.1,6-Aug-15,,,,9.9,7,,,,,,
,14,3,14.3,6-Aug-15,,,,9.5,5.5,,,,,,
,15,3,15.3,6-Aug-15,,,,11,7,,,,,,
,16,1,16.1,6-Aug-15,,,,8,5,,,,,,
,17,2,17.2,6-Aug-15,,,,8,5.1,,,,,,
,17,9,17.9,6-Aug-15,,,,8.7,6,,,,,,
,18,5,18.5,6-Aug-15,,,,9.9,7.25,,,,,,
,18,7,18.7,6-Aug-15,,,,7.3,5.9,,,,,,
,19,9,19.9,6-Aug-15,,,,8.8,6.5,,,,,,
,20,2,20.2,6-Aug-15,,,,5.9,4.8,,,,,,
,20,5,20.5,6-Aug-15,,,,6.1,5.75,,,,,,
,22,7,22.7,6-Aug-15,,,,5.9,5.8,,,,,,
,23,7,23.7,6-Aug-15,,,,8.1,5.15,,,,,,
,24,1,24.1,6-Aug-15,,,,8,6.5,,,,,,
,24,9,24.9,6-Aug-15,,,,7.8,6,,,,,,
,25,9,25.9,6-Aug-15,,,,6.25,4.5,,,,,,
,26,5,26.5,6-Aug-15,,,,7.6,5.5,,,,,,
,32,3,32.3,6-Aug-15,,,,7.35,4.85,,,,,,
,34,5,34.5,6-Aug-15,,,,12.5,11,,,,,,
,34,7,34.7,6-Aug-15,,,,6.9,4.6,,,,,,
,38,7,38.7,6-Aug-15,,,,6.5,4.5,,,,,,
,42,7,42.7,6-Aug-15,,,,7.5,4.8,,,,,,
,44,1,44.1,6-Aug-15,,,,6.25,4.8,,,,,,
,12,4,12.4,7-Aug-15,,,,9.5,6.1,,,,,,
,12,6,12.6,7-Aug-15,,,,8.5,5.5,,,,,,
,12,8,12.8,7-Aug-15,,,,8.4,5.2,,,,,,
,13,4,13.4,7-Aug-15,,,,8,6,,,,,,
,13,6,13.6,7-Aug-15,,,,8,6.25,,,,,,
,13,8,13.8,7-Aug-15,,,,6.15,3.9,,,,,,
,13,10,13.1,7-Aug-15,,,,6.8,4,,,,,,
,14,1,14.1,7-Aug-15,,,,7.4,5.8,,,,,,
,14,4,14.4,7-Aug-15,,,,7.5,5.5,,,,,,
,15,4,15.4,7-Aug-15,,,,10.75,6.5,,,,,,
,16,2,16.2,7-Aug-15,,,,8.5,5.5,,,,,,
,17,2,17.2,7-Aug-15,,,,9,8.5,,,,,,
,17,10,17.1,7-Aug-15,,,,5.9,4.8,,,,,,
,18,6,18.6,7-Aug-15,,,,8.5,4.75,,,,,,
,18,8,18.8,7-Aug-15,,,,8.5,7,,,,,,
,19,10,19.1,7-Aug-15,,,,9,7.1,,,,,,
,20,2,20.2,7-Aug-15,,,,9.5,7.35,,,,,,
,20,6,20.6,7-Aug-15,,,,11,9,,,,,,
,22,8,22.8,7-Aug-15,,,,10,7,,,,,,
,23,8,23.8,7-Aug-15,,,,9.65,6.35,,,,,,
,24,2,24.2,7-Aug-15,,,,9.35,7.5,,,,,,
,24,10,24.1,7-Aug-15,,,,12.5,7.5,,,,,,
,25,10,25.1,7-Aug-15,,,,7.5,5.65,,,,,,
,26,6,26.6,7-Aug-15,,,,7.25,5.5,,,,,,
,32,4,32.4,7-Aug-15,,,,10.1,7,,,,,,
,34,6,34.6,7-Aug-15,,,,9.5,7.1,,,,,,
,34,8,34.8,7-Aug-15,,,,8,6.05,,,,,,
,38,8,38.8,7-Aug-15,,,,7.2,4.5,,,,,,
,42,8,42.8,7-Aug-15,,,,7.9,5,,,,,,
,44,2,44.2,7-Aug-15,,,,7.4,4.9,,,,,,
