VARIETY,ROW,PLANT,year,month,day,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,L1stom_length_1,L1stom_length_2,L1stom_length_3,L1stom_length_4,L1stom_length_5,L1image_area,L1stom_number,L2stom_length_1,L2stom_length_2,L2stom_length_3,L2stom_length_4,L2stom_length_5,L2image_area,L2stom_number
Aligote,12,1,2015,4,16,11.9,7.5,,,859,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,4,19,8.8,5.5,,,,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,4,20,,,14.576,,555,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,4,21,7.9,5.5,17.898,,772,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,4,22,,6.2,,,,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,4,24,10.1,7.2,16.261,,544,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,6,15,6.7,3.9,,,827,798,,,,,,,,,,,,,,
Auxerrois,12,3,2015,6,19,6.4,4.4,,,561,519,,,,,,,,,,,,,,
Auxerrois,12,3,2015,8,4,10.1,5.2,,,,,,,,,,,,,,,,,,
Auxerrois,12,3,2015,8,6,9,6.7,,,,,,,,,,,,,,,,,,
Auxerrois,12,4,2015,4,23,8.8,6.5,16.514,,,,,,,,,,,,,,,,,
Auxerrois,12,4,2015,6,16,10.5,7.4,,,1135,506,,,,,,,,,,,,,,
Auxerrois,12,4,2015,6,17,7.6,5,,,991,533,,,,,,,,,,,,,,
Auxerrois,12,4,2015,8,5,9.3,5.5,,,,,,,,,,,,,,,,,,
Auxerrois,12,4,2015,8,7,9.5,6.1,,,,,26.779,28.183,30.366,21.573,25.111,585630.249,88,,,,,,,
Chardonnay,12,5,2015,4,16,10,7.6,,,1261,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,4,19,7.8,4.9,,,,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,4,20,,,20.767,,785,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,4,21,5,4.4,28.543,,1194,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,4,24,9,5.4,22.419,,1019,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,6,15,7.1,3.6,,,1549,528,,,,,,,,,,,,,,
Chardonnay,12,5,2015,6,19,6.8,3.6,,,1325,269,26.693,19.427,21.574,23.431,21.041,585630.249,93,,,,,,,
Chardonnay,12,5,2015,8,4,6.5,4,,,,,,,,,,,,,,,,,,
Chardonnay,12,5,2015,8,6,8.5,6.1,,,,,,,,,,,,,,,,,,
Chardonnay,12,6,2015,4,22,,6.2,,,,,,,,,,,,,,,,,,
Chardonnay,12,6,2015,4,23,8.8,6.5,21.658,,930,,,,,,,,,,,,,,,
Chardonnay,12,6,2015,6,16,6.8,5.2,,,764,423,,,,,,,,,,,,,,
Chardonnay,12,6,2015,6,17,6.8,4.3,,,785,692,21.745,26.027,25.366,20.036,23.609,585630.249,71,19.593,16.761,20.944,24.64,19.204,585630.249,157
Chardonnay,12,6,2015,8,5,9.4,6,,,,,15.952,16.71,19.531,19.45,19.395,585630.249,112,,,,,,,
Chardonnay,12,6,2015,8,7,8.5,5.5,,,,,26.793,22.16,29.716,27.367,20.563,584388.192,94,,,,,,,
Gamay_Noir,12,7,2015,6,15,6.75,3.9,,,846,819,,,,,,,,,,,,,,
Gamay_Noir,12,7,2015,6,19,5.2,3.4,,,994,285,,,,,,,,,,,,,,
Gamay_Noir,12,7,2015,8,4,9.5,6.8,,,,,,,,,,,,,,,,,,
Gamay_Noir,12,7,2015,8,6,8,5.5,,,,,,,,,,,,,,,,,,
Gamay_Noir,12,8,2015,6,16,10.2,5.35,,,632,594,,,,,,,,,,,,,,
Gamay_Noir,12,8,2015,6,17,6,3.7,,,466,515,,,,,,,,,,,,,,
Gamay_Noir,12,8,2015,8,5,8.5,6,,,,,17.52,19.624,26.11,25.588,19.059,584388.192,87,28.213,20.629,19.002,21.173,20.893,585630.249,81
Gamay_Noir,12,8,2015,8,7,8.4,5.2,,,,,21.447,29.041,19.719,24.105,18.618,584388.192,81,19.878,16.298,16.68,16.17,19.916,584388.192,77
Pinot_blanc,13,1,2015,4,19,5.4,2.9,,,,,,,,,,,,,,,,,,
Pinot_blanc,13,1,2015,4,21,5.1,4.3,17.45,,636,,,,,,,,,,,,,,,
Pinot_blanc,13,1,2015,4,23,7.5,4.5,18.12,,641,,,,,,,,,,,,,,,
Pinot_blanc,13,1,2015,4,24,7.5,4.8,15.547,,564,,,,,,,,,,,,,,,
Pinot_blanc,13,2,2015,4,22,,4.5,,,,,,,,,,,,,,,,,,
Pinot_blanc,13,2,2015,4,23,7.5,4.5,,,,,,,,,,,,,,,,,,
Pinot_gris,13,3,2015,4,16,9.9,10.1,,,551,,,,,,,,,,,,,,,
