variety,event,doy.2015
Aleatico,bb,69.12610727
Aleatico,brix22,224.9987392
Aleatico,flo,117.5488818
Aleatico,ver,211.25
Alicante Bouschet,bb,63.4397724
Alicante Bouschet,brix22,231.9284524
Alicante Bouschet,flo,113.420918
Alicante Bouschet,ver,186.8268016
Aligote,bb,65.15947873
Aligote,brix22,239.3005355
Aligote,flo,110.7795546
Aligote,ver,199.1672387
Arneis,bb,68.97768569
Arneis,brix22,208.7061783
Arneis,flo,115.0446733
Arneis,ver,196.1734766
Auxerrois,bb,66.23971569
Auxerrois,brix22,221.5809952
Auxerrois,flo,109.4400233
Auxerrois,ver,186.0448846
Biancello,bb,68.18008332
Biancello,brix22,227.1579338
Biancello,flo,123.713819
Biancello,ver,205.1017097
Blush Seedless,bb,72.03952063
Blush Seedless,brix22,230.0076626
Blush Seedless,flo,125.7321429
Blush Seedless,ver,212.2996649
Cabernet franc,bb,67.46574649
Cabernet franc,brix22,231.6180065
Cabernet franc,flo,107.1761472
Cabernet franc,ver,197.3693375
Calzin,bb,74.96630871
Calzin,brix22,230.7202467
Calzin,flo,127.8277302
Calzin,ver,208.2436621
Carignane,bb,65.60604543
Carignane,brix22,253.0692763
Carignane,flo,116.8107978
Carignane,ver,201.3724459
Carmenere,bb,68.86571181
Carmenere,brix22,235.5521478
Carmenere,flo,110.3805557
Carmenere,ver,196.6948141
Carnelian,bb,70.81478859
Carnelian,brix22,238.1641161
Carnelian,flo,123.5
Carnelian,ver,201.0289493
Castelao,bb,68.20772
Castelao,brix22,234.0922957
Castelao,flo,117.2183917
Castelao,ver,200.4601899
Centurion,bb,69.349219
Centurion,brix22,244.0557634
Centurion,flo,120.7260277
Centurion,ver,200.6573516
Chasselas doree,bb,66.5407362
Chasselas doree,brix22,227.0700274
Chasselas doree,flo,109.7702102
Chasselas doree,ver,187.0123091
Cinsault,bb,70.47823754
Cinsault,brix22,242.8266408
Cinsault,flo,123.7023038
Cinsault,ver,202.1326284
Coda di Volpe,bb,70.5701582
Coda di Volpe,brix22,233.3040505
Coda di Volpe,flo,125.3637887
Coda di Volpe,ver,210.0552703
Cot,bb,66.58146462
Cot,brix22,237.41293
Cot,flo,110.7032845
Cot,ver,195.8288288
Counoise,bb,70.87309729
Counoise,brix22,236.3648847
Counoise,flo,127.0295648
Counoise,ver,199.13902
Dawn Seedless,bb,70.22913213
Dawn Seedless,brix22,223.1314566
Dawn Seedless,flo,122.5013753
Dawn Seedless,ver,217.5
Dolcetto,bb,71.93171153
Dolcetto,brix22,218.7357626
Dolcetto,flo,126.4393688
Dolcetto,ver,203.3341911
Emerald Reisling,bb,69.67043618
Emerald Reisling,brix22,217.4962358
Emerald Reisling,flo,125.0604197
Emerald Reisling,ver,216.1996445
Erbaluce,bb,70.22548471
Erbaluce,brix22,224.0545989
Erbaluce,flo,123.511155
Erbaluce,ver,205.9800995
Flora,bb,69.24872778
Flora,brix22,221.1380224
Flora,flo,120.739198
Flora,ver,209.1023601
Folle blance,bb,70.84566654
Folle blance,brix22,251.8899689
Folle blance,flo,99.10727214
Folle blance,ver,195.945088
Furmint,bb,69.92499728
Furmint,brix22,219.1866275
Furmint,flo,126.0838355
Furmint,ver,196.8557747
Gewurztraminer,bb,67.78130582
Gewurztraminer,brix22,218.6479222
Gewurztraminer,flo,112.6302776
Gewurztraminer,ver,195.3391841
Gold,bb,70.08376702
Gold,brix22,226.8295059
Gold,flo,125.8630952
Gold,ver,195.8924716
Graciano,bb,74.0574818
Graciano,brix22,228.4368613
Graciano,flo,124.7029285
Graciano,ver,211.7518129
Grignolino,bb,68.54251144
Grignolino,brix22,226.8042357
Grignolino,flo,124.3036114
Grignolino,ver,203.4734856
Gruner Veltiner,bb,70.12250755
Gruner Veltiner,brix22,236.0024186
Gruner Veltiner,flo,117.9138801
Gruner Veltiner,ver,191.0665355
