variety,region,RMI_bb,RMI_flow,RMI_ver,RMI_mat,april_A,april_gs,aprilWUE,june_A,june_gs,juneWUE,august_A,august_gs,augustWUE
Auxerrois,Burgundy,66.23971569,109.4400233,186.0448846,221.5809952,,,,,,,,,58
Cabernet_franc,Burgundy,67.46574649,107.1761472,197.3693375,231.6180065,14.05,0.146666667,98.10244797,16.975,0.260833333,68.37387403,16.86666667,0.296777778,62.28134933
Cabernet_sauvignon,Bordeaux,,118,195,231,13.51666667,0.131833334,102.7852984,14.89166667,0.227833334,67.96296673,13.55083333,0.229475,74.94108594
Calzin,Olmo,74.96630871,127.8277302, v v vvvvvv              v                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,230.7202467,17.36666667,0.275333334,64.75084083,,,,,,
Carignane,Rhone,65.60604543,116.8107978,201.3724459,253.0692763,10.87888889,0.102033333,115.0499131,14.01666667,0.24425,57.85672514,11.3325,0.20585,60.83694312
Chardonnay,Burgundy,,100,191,225,13.73333333,0.1435,99.20493041,13.09583333,0.249,63.65690359,15.51666667,0.303666667,56.43671155
Dolcetto,Northern Italy,71.93171153,126.4393688,203.3341911,218.7357626,13.73333333,0.1435,96.14012704,14.64166667,0.208833333,70.65985128,19.74166667,0.395333334,49.89005984
Durif,Rhone,,117,201,230,14.2,0.1595,93.14577977,16.18333334,0.287,58.30082127,13.325,0.272666667,48.88072056
Early_Muscat,Olmo,,108,185,217,12.66666667,0.131,96.69211196,12.645,0.174916667,77.81572412,12.11666667,0.222,54.4787756
Furmint,Hungary,69.92499728,126.0838355,196.8557747,219.1866275,16.16666667,0.264333334,64.2290717,16.58333334,0.2785,66.85705704,18.05833333,0.342666667,52.85366108
Gewurtztraminer,Germany,67.78130582,112.6302776,195.3391841,218.6479222,12.24166667,0.184133334,87.79715632,15.49166667,0.251333333,63.92126835,16.95,0.4215,43.76459294
Marsanne,Rhone,68.3500059,117.5850287,192.6353431,207.8485356,13.41666667,0.131166667,102.5840427,13.37777778,0.177888889,80.16189615,15.175,0.250666667,63.78130385
Merlot,Bordeaux,68.574429,116.3399338,193.9821404,221.6628205,15.31666667,0.175166667,87.87758173,14.475,0.22175,68.05583511,14.46666667,0.239166667,66.10216051
Morrastel,Spanish,73.90283645,125.1143296,211.25,226.1120487,18.11666667,0.276333333,70.38614543,13.225,0.191583333,69.87370101,15.35833334,0.216916667,71.22463095
Nebbiolo,Northern Italy,,109,193,220,13.35,0.171833334,85.32755672,14.10833334,0.25175,60.10142864,13.36666667,0.248833334,54.7576485
Palomino,Spanish,70.69005199,125.4606779,208.3522595,243.0507616,13.41666667,0.164666667,87.42891918,16.55833333,0.287833333,60.92006252,14.75833333,0.236166667,63.32308192
Pinot_gris,Burgundy,,103,189,220,19.6,0.295666667,66.31835277,13.73333333,0.190555555,72.7950988,17.94166667,0.380916667,49.08041413
Pinot_noir,Burgundy,,102,189,212,18.23333334,0.2395,76.40712453,14.86583333,0.2265,69.21286722,15.63333333,0.340166667,48.80915519
Ruby_Cabernet,Olmo,,125,215,245,11.78333334,0.104666667,112.8779495,,,,,,
Ruby_Seedless,Olmo,71.11919986,125,211.7033586,232.575053,16.3,0.234833333,70.96612307,15.825,0.2635,61.97734436,20.92666667,0.4864,50.74352142
Sangiovese,Northern Italy,,111,192,223,16.75,0.196,88.46523331,17.10833333,0.295583333,59.56149373,16.4,0.362833333,45.06581347
Sauvignon_blanc,Bordeaux,73.63352911,126.5268803,190.4875483,222.1978127,15.68333333,0.189666667,82.72157593,15.05,0.217666667,70.99504174,19.575,0.396916667,51.26440779
Syrah,Rhone,69.80122523,126.0183727,192.7604444,226.5129613,10.43333333,0.144833334,72.21863243,11.82,0.253666667,53.22621565,15.075,0.25455,89.13322977
Szagos_feher,Hungary,69.10586894,127.3605918,196.0146813,238.4743082,15.46666667,0.239666667,68.54451937,14.71666667,0.255583333,58.24616784,18.65833333,0.394666667,47.91243076
UngniBlanc_Trebbiano,Rhone,78.91369787,131.4545455,210.8378671,225.4896376,9.04,0.113866667,82.53420121,13.58333334,0.175833333,78.34171464,16.825,0.226833333,75.71398998
Valdepenas,Rhone,,127,192,228,11.85555556,0.155888889,76.06549539,13.49166667,0.217083334,71.36169342,17.73333334,0.385666667,47.99023923
