"","Group.1","Group.1","year","month","day","row_plant","variety","Obs","Photo","Cond","Ci","Trmmol","WUEintstant","WUEintegrate"
"1","Auxerrois",NA,2015,4,23.5,12.35,NA,11,13.91666667,0.1567,208.33333335,2.3216666665,6.1887539175,99.32963037
"2","Cabernet_franc",NA,2015,4,23.5,13.5,NA,9.5,14.05,0.146666667,210.6666667,2.285,6.1678001335,98.10244797
"3","Cabernet_sauvignon",NA,2015,4,23.5,14.1,NA,9,13.516666665,0.1318333335,204.5,2.0333333335,6.6727629345,102.78529839
"4","Calzin",NA,2015,4,23.5,39.35,NA,6.5,17.366666665,0.2753333335,258.33333335,3.5183333335,4.9323813575,64.75084083
"5","Carignane",NA,2015,4,23.6666666666667,17.3666666666667,NA,5,10.87888889,0.102033333333333,189.444444433333,1.64111111133333,7.02046478733333,115.049913123333
"6","Chardonnay",NA,2015,4,23.5,12.55,NA,9.5,13.73333333,0.1435,209.33333335,2.285,6.0550374025,99.204930405
"7","Dolcetto",NA,2015,4,23.5,24.5,NA,6,13.73333333,0.1435,214.5,2.185,6.2992434055,96.140127035
"8","Durif",NA,2015,4,23.5,18.55,NA,5,14.2,0.1595,218.5,2.41,6.048351843,93.145779765
"9","Early_Muscat",NA,2015,4,23,42.8,NA,8,12.66666667,0.131,215.6666667,2.02,6.270729786,96.69211196
"10","Furmint",NA,2015,4,23.5,22.75,NA,8.5,16.16666667,0.2643333335,261.66666665,3.31,4.9405943995,64.229071695
"11","Gewurtztraminer",NA,2015,4,23.5,20.55,NA,4,12.241666665,0.1841333335,230.5,2.3133333335,5.902495717,87.797156315
"12","Marsanne",NA,2015,4,23.5,18.75,NA,6,13.416666665,0.1311666665,204.5,2.0866666665,6.4656724035,102.584042665
"13","Merlot",NA,2015,4,23.5,15.35,NA,4.5,15.316666665,0.1751666665,224.83333335,2.5066666665,6.1098577035,87.877581725
"14","Morrastel",NA,2015,4,23.5,34.55,NA,7.5,18.116666665,0.276333333,248.6666667,3.3416666665,5.477450228,70.386145425
"15","Nebbiolo",NA,2015,4,23.5,25.1,NA,6.5,13.35,0.1718333335,232.3333333,2.4783333335,5.557980523,85.327556715
"16","Palomino",NA,2015,4,23.5,34.75,NA,5.5,13.416666665,0.1646666665,228.5,2.4583333335,5.6135461695,87.42891918
"17","Pinot_blanc",NA,2015,4,23.5,13.1,NA,6,14.35,0.1781666665,237.5,2.6816666665,5.3459536825,81.017997145
"18","Pinot_gris",NA,2015,4,23,13.4,NA,6,19.6,0.295666667,253,3.546666667,5.527713911,66.31835277
"19","Pinot_noir",NA,2015,4,23.5,13.8,NA,8.5,18.233333335,0.2395,238.8333333,3.37,5.4128179325,76.40712453
"20","Ruby_Cabernet",NA,2015,4,23.5,40.1,NA,6.5,11.783333335,0.1046666665,191,1.77,6.6765645415,112.8779495
"21","Ruby_Seedless",NA,2015,4,23.5,44.15,NA,5.5,16.3,0.234833333,250.1666667,3.073333333,5.357280253,70.966123065
"22","Sangiovese",NA,2015,4,23.5,26.55,NA,6,16.75,0.196,221.83333335,2.718333333,6.224773777,88.46523331
"23","Sauvignon_blanc",NA,2015,4,23.5,16.15,NA,7,15.68333333,0.1896666665,233.16666665,2.57,6.1018936545,82.72157593
"24","Syrah",NA,2015,4,23.5,19.5,NA,5.5,10.43333333,0.1448333335,257.6666667,2.1916666665,4.762612449,72.218632425
"25","Szagos_feher",NA,2015,4,23.5,23.75,NA,5,15.466666665,0.2396666665,255.83333335,3.033333333,5.166199284,68.54451937
"26","UngniBlanc_Trebbiano",NA,2015,4,23.5,17.2,NA,5.75,9.04,0.1138666665,243.33333335,1.7733333335,5.1933589205,82.534201205
"27","Valdepenas",NA,2015,4,22.6666666666667,20.1666666666667,NA,8.66666666666667,11.8555555566667,0.155888889,249.444444433333,2.391111111,4.95488138433333,76.0654953933333
"28","Auxerrois",NA,2015,6,16.75,NA,NA,8.25,13.14333333325,0.23255,268.5,3.175,4.80692379225,62.83928337
"29","Barbera",NA,2015,6,17,NA,NA,9,17.116666665,0.274,262.1666667,3.528333333,5.148237854,62.71356546
"30","Cabernet_franc",NA,2015,6,16.75,NA,NA,5,16.9750000025,0.26083333325,252.583333325,3.7533333335,5.28253439025,68.373874025
"31","Cabernet_sauvignon",NA,2015,6,16.75,NA,NA,8,14.891666665,0.2278333335,256.666666675,3.4366666665,4.96324949625,67.96296673
"32","Carignane",NA,2015,6,16.75,NA,NA,7,14.0166666675,0.24425,274.166666675,3.53333333325,4.27391204575,57.8567251425
"33","Carmenere",NA,2015,6,16.75,NA,NA,5.75,11.983333335,0.16875000025,248.41666665,2.75333333325,5.2868009635,76.0471521875
"34","Chardonnay",NA,2015,6,16.75,NA,NA,7.25,13.09583333175,0.24899999975,266.999999975,3.16666666675,4.6517014755,63.65690359
"35","Dolcetto",NA,2015,6,16.75,NA,NA,7.25,14.6416666675,0.20883333325,253.000000025,3.155833333,5.01789059125,70.659851275
"36","Durif",NA,2015,6,16.75,NA,NA,8.5,16.183333335,0.287,270.25,3.8325,4.47144940525,58.300821265
"37","Early_Muscat",NA,2015,6,16.75,NA,NA,8.25,12.64499999925,0.1749166665,244.16666665,2.72000000025,4.788507961,77.8157241225
"38","Furmint",NA,2015,6,16.75,NA,NA,6.25,16.583333335,0.2785,255.5,3.77,4.75456591,66.85705704
"39","Gamay_noir",NA,2015,6,16.75,NA,NA,8.5,11.99500000075,0.14906666675,234.749999975,2.44333333325,5.24913573575,84.3744211175
"40","Gewurtztraminer",NA,2015,6,16.75,NA,NA,7.75,15.491666665,0.25133333325,262.16666665,3.6541666665,4.73447661075,63.92126835
"41","Marsanne",NA,2015,6,17.3333333333333,NA,NA,7.33333333333333,13.3777777766667,0.177888889,238.555555533333,3.137777778,4.58926784566667,80.1618961533333
"42","Merlot",NA,2015,6,16.75,NA,NA,5,14.475,0.22175,256.833333325,3.5216666665,4.86171787925,68.055835105
"43","Morrastel",NA,2015,6,16.75,NA,NA,8.25,13.225,0.19158333325,256.166666675,2.98916666675,4.6620734055,69.873701005
"44","Nebbiolo",NA,2015,6,16.75,NA,NA,9.25,14.108333335,0.25175,270.25,3.74083333325,4.302339066,60.1014286375
"45","Palomino",NA,2015,6,16.75,NA,NA,4.75,16.5583333325,0.28783333325,265.58333335,3.65000000025,4.67434196775,60.920062515
"46","Pinot_gris",NA,2015,6,17.3333333333333,NA,NA,6.66666666666667,13.7333333333333,0.190555555333333,249.666666666667,3.36,4.098633088,72.7950988033333
"47","Pinot_meunier",NA,2015,6,16.75,NA,NA,8.5,17.341666665,0.30766666675,264,3.95750000025,4.765849256,60.997841355
"48","Pinot_noir",NA,2015,6,16.75,NA,NA,7.25,14.86583333325,0.2265,254.416666675,3.2025,4.9540686875,69.2128672225
"49","Ruby_Seedless",NA,2015,6,16.75,NA,NA,7.25,15.825,0.2635,264.500000025,3.7633333335,4.51919875575,61.977344355
