VARIETY,ROW,PLANT,ID,DATE,LOG,A,g,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg
Aligote,12,1,1,16_April_2015,0,13,0.175,11.9,7.5,,,859,
Aligote,12,2,,,,,,,,,,,
Auxerrois,12,3,,19_April_2015,0,12.5,0.335,8.8,5.35,,,,
Auxerrois,12,3,,20_April_2015,,,,,,14.576,,555,
Auxerrois,12,3,,21_April_2015,5,17.1,0.393,7.9,5.5,17.898,,772,
Auxerrois,12,3,,22_April_2105,,,,,6.15,,,,
Auxerrois,12,3,,24_April_2015,6,11.4,0.0841,10.1,7.2,16.261,,544,
,12,3,extra_leaves,,,,,,,,,807,950
Auxerrois,12,4,,23_April_2015,6,16.4,0.215,8.8,6.5,16.514,,,
,12,4,extra_leaves,,,,,,,,,,
Chardonnay,12,5,2,16_April_2015,1,8.25,0.115,10,7.6,,,1261,
Chardonnay,12,5,,19_April_2015,"1,2",7.4,0.2205,7.8,4.9,,,,
Chardonnay,12,5,,20_April_2015,,,,,,20.767,,785,
Chardonnay,12,5,,21_April_2015,5,13.8,0.194,5,4.4,28.543,,1194,
Chardonnay,12,5,,24_April_2015,6,12.1,0.108,9,5.4,22.419,,1019,
,12,5,extra_leaves,,,,,,,,,,
Chardonnay,12,6,,22_April_2105,,,,,6.15,,,,
Chardonnay,12,6,,23_April_2015,6,15.5,0.184,8.8,6.5,21.658,,930,
,12,6,extra_leaves,,,,,,,,,,
Gamay_noir,12,7,3,16_April_2015,2,9.74,0.113,,,,,,
Gamay_noir,12,8,,,,,,,,,,,
Pinot_blanc,13,1,,19_April_2015,3,15.7,0.413,5.4,2.9,,,,
Pinot_blanc,13,1,,21_April_2015,5,15.9,0.235,5.1,4.3,17.45,,636,
Pinot_blanc,13,1,,23_April_2015,6,15.3,0.193,7.5,4.5,18.12,,641,
Pinot_blanc,13,1,,24_April_2015,6,13.4,0.159,7.5,4.8,15.547,,564,
,13,1,,20_April_2015,,,,,,,,769,
,13,1,extra_leaves,,,,,,,,,,
Pinot_blanc,13,2,,22_April_2105,,,,,4.5,,,,
Pinot_blanc,13,2,,23_April_2015,,,,7.5,4.5,,,,
Pinot_gris,13,3,4,16_April_2015,3,6.3,0.0675,9.9,10.1,,,551,
Pinot_gris,13,3,,19_April_2015,,,,6.7,4.7,,,,
Pinot_gris,13,3,,21_April_2015,5,13,0.149,8.9,5.1,17.704,,757,
Pinot_gris,13,4,,23_April_2015,6,19.7,0.297,7.8,4.8,,,,
Pinot_meunier,13,5,5,16_April_2015,4,18,0.326,12,3.9,,,971,
Pinot_meunier,13,6,,,,,,,,,,,
Pinot_noir,13,7,6,16_April_2015,5,12.1,0.114,12,6.5,,,579,
Pinot_noir,13,7,,20_April_2015,,,,,,19.417,,731,
Pinot_noir,13,8,,19_April_2015,4,13.6,0.282,8.5,3.4,,,,
Pinot_noir,13,8,,21_April_2015,5,17.6,0.284,7.5,4.5,16.24,,575,
Pinot_noir,13,8,,22_April_2015,,,,,4.2,,,,
Pinot_noir,13,8,,23_April_2015,6,17.4,0.242,7.4,4.5,18.78,,738,
Pinot_noir,13,8,,24_April_2015,6,5,18.2,0.23,5.4,15.681,,586,
,13,8,extra_leaves,,,,,,,,,,
Cabernet_franc,13,9,7,16_April_2015,6,7.83,0.0842,10,7,,,666,
Cabernet_franc,13,9,,19_April_2015,5,9.83,0.159,6.8,4.4,,,,
Cabernet_franc,13,9,,20_April_2015,,,,,,19.365,,534,
Cabernet_franc,13,9,,21_April_2015,5,13.1,0.155,5.8,5.4,21.798,,867,
Cabernet_franc,13,9,,24_April_2015,6,13.2,0.119,8.1,5.75,22.284,,790,
,13,9,extra_leaves,,,,,,,,,,
Cabernet_franc,13,10,,22_April_2015,,,,,4.4,,,,
Cabernet_franc,13,10,,23_April_2015,6,15,0.165,7.1,4.8,22.788,,861,
,13,10,extra_leaves,,,,,,,,,,
Cabernet_sauvignon,14,1,8,16_April_2015,7,5.1,0.0647,,7.9,,,485,
Cabernet_sauvignon,14,1,,20_April_2015,,,,,,18.473,,586,
Cabernet_sauvignon,14,1,,21_April_2015,5,9.81,0.109,8.1,5.9,18.334,,628,
Cabernet_sauvignon,14,1,,19_April_2015,6,11.5,0.203,3.4,2.9,,,,
Cabernet_sauvignon,14,1,,22_April_2015,,,,,4.8,,,,
Cabernet_sauvignon,14,1,,23_April_2015,6,13.8,0.144,8.6,6.1,17.419,,577,
Cabernet_sauvignon,14,1,,24_April_2015,6,12.9,0.227,7.8,5.8,16.457,,602,
,14,1,extra_leaves,,,,,,,,,,
Carmenere,14,3,9,16_April_2015,8,7.1,0.0819,,,,,,
Carmenere,14,4,,,,,,,,,,,
Merlot,15,3,10,16_April_2015,"9,1",9.8,0.126,7.75,4.5,,,632,
Merlot,15,3,,19_April_2015,7,11.3,0.218,,,,,,
Merlot,15,3,,20_April_2015,,,,,,26.899,,721,
Merlot,15,3,,21_April_2015,5,13.7,0.226,5.2,3.1,35.12,,1048,
Merlot,15,3,,24_April_2015,5,16.4,0.2,6,3.4,26.099,,804,
,15,3,extra_leaves,,,,,,,,,,
Merlot,15,4,,23_April_2015,6,14.1,0.16,6.25,3.7,26.6455,,1160,
,15,4,extra_leaves,,,,,,,,,,
Sauvignon_blanc,16,1,11,17_April_2015,2,12.6,0.209,9.8,6.3,,,1002,
Sauvignon_blanc,16,1,,19_April_2015,8,15.1,0.335,5.5,3.2,,,,
Sauvignon_blanc,16,1,,20_April_2015,,,,,,23.173,,813,
Sauvignon_blanc,16,1,,21_April_2015,5,15.1,0.198,4.9,4.1,24.028,,1014,
Sauvignon_blanc,16,1,,24_April_2015,6,16.1,0.195,9,4.7,19.325,,760,
,16,1,extra_leaves,,,,,,,,,,
Sauvignon_blanc,16,2,,23_April_2015,6,15.2,0.18,8.8,5.8,15.073,,528,
Sauvignon_blanc,16,2,,22_April_2015,,,,,5.7,,,,
,16,2,extra_leaves,,,,,,,,,,
UngniBlanc_Trebbiano,17,2,,21_April_2015,5,14.7,0.275,6.9,4.9,22.386,,756,
UngniBlanc_Trebbiano,17,2,,22_April_2015,,,,,5.85,,,,
UngniBlanc_Trebbiano,17,2,,23_April_2015,6,8.66,0.127,5,3.8,28.701,,922,
UngniBlanc_Trebbiano,17,2,,24_April_2015,2,9.37,0.093,6.5,4.9,27.203,,762,
,17,2,extra_leaves,,,,,,,,,,
Alicante_bouschet,17,3,12,17_April_2015,3,13.6,0.241,8.25,5.75,,,520,
Alicante_bouschet,17,4,,,,,,,,,,,
Carignane,17,9,13,17_April_2015,4,11.4,0.157,9.1,6.9,,,843,
Carignane,17,9,,19_April_2015,9,11.8,0.219,8,4.9,,,,
Carignane,17,9,,20_April_2015,,,,,,30.518,,887,
Carignane,17,9,,21_April_2015,5,10.7,0.115,8.5,7.8,27.591,,1014,
Carignane,17,9,,24_April_2015,6,14.2,0.136,9.8,7.5,27.405,,957,
,17,9,extra_leaves,,,,,,,,,,
Carignane,17,10,,19_April_2015,10,13.1,0.35,9,6,,,,
Carignane,17,10,,20_April_2015,,,,,,26.794,,827,
Carignane,17,10,,22_April_2015,,,,,5.5,,,,
Carignane,17,10,,23_April_2015,6,12.3,0.132,8.7,6.4,28.135,,945,
Cinsault,18,1,14,17_April_2015,5,9.4,0.122,9.1,5.9,,,515,
Cinsault,18,2,,,,,,,,,,,
Counoise,18,3,15,17_April_2015,6,15,0.325,7.8,2,,,626,
Counoise,18,4,,,,,,,,,,,
Durif,18,5,16,17_April_2015,7,15.7,0.329,9.8,2.7,,,606,
Durif,18,5,,19_April_2015,11,13.6,0.232,3.9,3.8,,,,
Durif,18,5,,20_April_2015,,,,,,19.144,,562,
Durif,18,5,,21_April_2015,5,10.7,0.154,5,4.1,21.59,,622,
Durif,18,5,,23_April_2015,,,,7,3.5,17.825,,655,
,18,5,,24_April_2015,6,15.8,0.206,,,28.736,,1041,
,18,5,extra_leaves,,,,,,,,,,
Durif,18,6,,22_April_2015,,,,,4.2,,,,
Durif,18,6,,23_April_2015,6,12.6,0.12,7,3.5,,,,
,18,6,extra_leaves,,,,,,,,,,
Marsanne,18,7,17,17_April_2015,8,12.6,0.188,4.4,5.2,,,1210,
Marsanne,18,7,,19_April_2015,12,16.4,0.311,8.5,2.9,,,,
Marsanne,18,7,,20_April_2015,,,,,,30.315,,1113,
Marsanne,18,7,,21_April_2015,5,14.5,0.248,8.3,5.8,21.711,,752,
Marsanne,18,7,,23_April_2015,,,,8,4.8,,,,
,18,7,,24_April_2015,6,13.9,0.142,,,26.216,,863,
,18,7,extra_leaves,,,,,,,,,,
Marsanne,18,8,,22_April_2015,,,,,4.95,,,,
Marsanne,18,8,,23_April_2015,6,13,0.126,7,5.9,23.938,,881,
,18,8,extra_leaves,,,,,,,,,,
Roussanne,19,7,18,17_April_2015,9,11.3,0.234,10,4.9,,,574,
Syrah,19,9,19,17_April_2015,10,9.25,0.129,9.6,5.2,,,486,
Syrah,19,9,,19_April_2015,13,11.6,0.205,8.9,6,,,,
