VARIETY,ROW,PLANT,ID,DATE,LOG,A,g,Leaf_potential,Stem_potential,Leaf_area1,Leaf_area2,leaf_weight1_mg,Leaf_weight2_mg,Leaf_weight3_mg,
,12,3,,15_June_2015,,,,6.7,3.9,,,827,798,,
,12,5,,15_June_2015,,,,7.1,3.35,,,1549,528,,
,12,7,,15_June_2015,,,,6.75,3.9,,,846,819,,
,13,3,,15_June_2015,,,,8.1,3.5,,,998,378,,
,13,5,,15_June_2015,,,,6.9,3.75,,,1702,1328,,
,13,8,,15_June_2015,,,,7.1,3.45,,,992,683,,
,13,9,,15_June_2015,,,,8.9,4.6,,,1133,694,,
,14,1,,15_June_2015,,,,6.8,4.9,,,593,565,,
,14,3,,15_June_2015,,,,6.9,5.1,,,840,608,,
,15,3,,15_June_2015,,,,8.55,4.8,,,1046,551,,
,16,1,,15_June_2015,,,,4.5,3.7,,,1188,1378,,
,17,2,,15_June_2015,,,,7.4,4.6,,,785,613,,
,17,9,,15_June_2015,,,,7.8,5.9,,,1595,1458,,
,18,5,,15_June_2015,,,,7.2,5.15,,,1525,1027,,
,18,7,,15_June_2015,,,,7.9,5.2,,,1304,1135,,
,19,9,,15_June_2015,,,,8.5,6.45,,,743,1051,,
,20,1,,15_June_2015,,,,5.5,5.05,,,2702,1024,,
,20,5,,15_June_2015,,,,8.566,4.2,,,1203,504,270,
,22,7,,15_June_2015,,,,9.5,5.9,,,1217,1626,,
,23,7,,15_June_2015,,,,9.3,5.9,,,1401,580,,
,24,1,,15_June_2015,,,,7.95,5.7333,,,1471,1324,571,
,24,9,,15_June_2015,,,,7.8,4.9,,,786,493,,
,25,9,,15_June_2015,,,,6.95,3.7,,,1135,347,,
,26,5,,15_June_2015,,,,8.9,5.35,,,1864,1007,1041,
,32,3,,15_June_2015,,,,6.85,5.9,,,1904,1326,1354,
,34,5,,15_June_2015,,,,8.5,6.35,,,1713,1422,,
,34,7,,15_June_2015,,,,7.5,4.5,,,1515,1384,,
,38,7,,15_June_2015,,,,7,4.25,,,1931,557,,
,42,7,,15_June_2015,,,,9.6,5.45,,,1269,518,531,
,44,1,,15_June_2015,,,,5.5,3.4,,,2287,738,,
,12,4,,16_June_2015,,,,10.5,7.4666,,,1135,506,454,1025
,12,6,,16_June_2015,,,,6.8,5.1,,,764,423,,
,12,8,,16_June_2015,,,,10.2,5.35,,,632,594,659,
,13,4,,16_June_2015,,,,8.05,4.9,,,1055,600,1447,
,13,6,,16_June_2015,,,,9.3,5.9,,,1328,992,,
,13,8,,16_June_2015,,,,8.3,5.15,,,1205,534,,
,13,10,,16_June_2015,,,,9.6,6.05,,,978,657,,
,14,1,,16_June_2015,,,,6.2,5.4,,,1230,1036,,
,14,4,,16_June_2015,,,,6.1,4.5,,,1625,586,,
,15,4,,16_June_2015,,,,7.7,6.1,,,2443,585,,
,16,2,,16_June_2015,,,,6.6,4.55,,,1632,777,,
