year,month,day,row_plant,variety,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
2015,4,24,42.7,Early_Muscat,1,13:13:58,17.5,8.39,0.0191,-319,0.36,1.88,6,1,2.84,25.19,26.55,25.01,399.87,389.63,15.478,15.903,48.73,50.07,500.1,1770,1920,101.2,0.243,-1.44,0.3,111115
2015,4,24,42.7,Early_Muscat,2,13:14:09,28,8.3,0.0312,-44.8,0.587,1.87,6,1,2.84,25.17,26.67,25.01,399.91,389.67,15.479,16.171,48.8,50.98,500.2,1799,602,101.2,0.243,-1.44,0.7,111115
2015,4,24,42.7,Early_Muscat,3,13:14:19,38.5,8.17,0.0365,21.5,0.681,1.87,6,1,2.84,25.16,26.69,25.02,399.84,389.72,15.478,16.282,48.82,51.35,500.3,1799,1857,101.2,0.243,-1.44,1,111115
2015,4,24,42.7,Early_Muscat,4,13:14:29,49,8.16,0.0386,41.7,0.718,1.86,6,1,2.84,25.15,26.68,25.02,399.96,389.84,15.481,16.328,48.85,51.52,500.1,1801,1920,101.2,0.243,-1.44,1,111115
2015,4,24,42.7,Early_Muscat,5,13:14:40,59,7.92,0.0394,57.8,0.728,1.85,6,1,2.84,25.14,26.63,25.01,399.82,389.98,15.472,16.33,48.87,51.58,500.2,1805,1916,101.2,0.243,-1.44,1,111115
2015,4,24,42.7,Early_Muscat,6,13:14:50,69,7.88,0.0409,70.9,0.75,1.84,6,1,2.84,25.12,26.59,25.01,399.77,389.97,15.46,16.346,48.88,51.68,500.1,1799,1864,101.2,0.243,-1.44,1,111115
2015,4,24,40.10,Ruby_Cabernet,1,13:09:46,21.5,12.7,0.0865,137,1.52,1.78,6,1,2.84,25.46,26.87,25.02,400.47,384.58,15.686,17.475,48.6,54.14,500.2,1761,1845,101.2,0.243,-1.44,0.3,111115
2015,4,24,40.10,Ruby_Cabernet,2,13:09:56,32,12.4,0.0976,167,1.72,1.79,6,1,2.84,25.46,27.02,25.02,400.46,384.77,15.666,17.688,48.53,54.79,500.2,1798,1842,101.2,0.243,-1.44,0.3,111115
2015,4,24,40.10,Ruby_Cabernet,3,13:10:07,42.5,12.4,0.103,178,1.8,1.79,6,1,2.84,25.47,27.05,25.02,400.49,384.81,15.642,17.765,48.44,55.01,500.1,1800,1844,101.2,0.243,-1.44,1,111115
2015,4,24,40.10,Ruby_Cabernet,4,13:10:17,53,12.4,0.107,185,1.86,1.79,6,1,2.84,25.46,27.05,25.02,400.48,384.78,15.623,17.816,48.39,55.18,500.1,1799,1842,101.2,0.243,-1.44,1,111115
2015,4,24,40.10,Ruby_Cabernet,5,13:10:28,63.5,12.4,0.107,185,1.87,1.79,6,1,2.84,25.45,27.04,25.01,400.62,384.84,15.607,17.812,48.38,55.21,500.2,1799,1842,101.2,0.243,-1.44,1,111115
2015,4,24,40.10,Ruby_Cabernet,6,13:10:38,74,12.4,0.107,186,1.87,1.78,6,1,2.84,25.45,27.03,25.02,400.38,384.67,15.595,17.8,48.36,55.19,500.2,1799,1842,101.2,0.243,-1.44,1,111115
2015,4,24,44.1,Ruby_Seedless,1,13:17:28,19.5,15.4,0.15,202,2.16,1.49,6,1,2.84,25.12,25.76,25.02,399.88,380.4,15.572,18.117,49.24,57.28,500.2,1800,1917,101.2,0.243,-1.44,0,111115
2015,4,24,44.1,Ruby_Seedless,2,13:17:38,29.5,15.6,0.173,222,2.43,1.47,6,1,2.84,25.12,25.79,25.02,400.06,380.29,15.541,18.401,49.13,58.17,500.2,1799,1938,101.2,0.243,-1.44,0.3,111115
2015,4,24,44.1,Ruby_Seedless,3,13:17:49,39.5,15.6,0.183,229,2.56,1.46,6,1,2.84,25.12,25.83,25.02,400.06,380.16,15.514,18.524,49.03,58.55,500.2,1799,1909,101.2,0.243,-1.44,0.7,111115
2015,4,24,44.1,Ruby_Seedless,4,13:17:59,50,15.5,0.19,234,2.63,1.46,6,1,2.84,25.12,25.82,25.02,399.99,380.16,15.489,18.583,48.96,58.74,500.2,1800,1929,101.2,0.243,-1.44,1,111115
2015,4,24,44.1,Ruby_Seedless,5,13:18:09,60.5,15.3,0.194,239,2.68,1.45,6,1,2.84,25.11,25.8,25.02,399.88,380.25,15.448,18.597,48.86,58.82,500.2,1800,1833,101.2,0.243,-1.44,1,111115
2015,4,24,44.1,Ruby_Seedless,6,13:18:20,71,15.4,0.196,240,2.71,1.46,6,1,2.84,25.11,25.83,25.02,399.89,380.19,15.405,18.594,48.72,58.81,500.2,1801,1886,101.2,0.243,-1.44,1,111115
2015,4,24,39.3,Calzin,1,13:05:57,19,15.2,0.171,223,2.63,1.6,6,1,2.84,25.6,26.8,25.02,399.74,380.34,16.01,19.105,49.2,58.71,500.2,1773,2012,101.2,0.243,-1.44,0.3,111115
2015,4,24,39.3,Calzin,2,13:06:07,29.5,15.9,0.196,234,2.97,1.6,6,1,2.84,25.6,26.96,25.01,399.73,379.35,15.994,19.487,49.15,59.89,500.2,1798,2003,101.2,0.243,-1.44,0.3,111115
2015,4,24,39.3,Calzin,3,13:06:17,39.5,15.9,0.208,241,3.13,1.59,6,1,2.84,25.6,27,25.02,399.8,379.28,15.983,19.659,49.12,60.42,500.2,1800,2003,101.2,0.243,-1.44,0.3,111115
2015,4,24,39.3,Calzin,4,13:06:27,49.5,16,0.214,244,3.2,1.58,6,1,2.84,25.6,27.01,25.02,399.7,379.02,15.979,19.744,49.09,60.66,500.1,1799,1994,101.2,0.243,-1.44,0.7,111115
