year,month,day,row_plant,variety,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
2015,8,4,12.3,Auxerrois,1,11:19:10,38,17.7,0.17,198,1.48,0.903,6,1,2.84,25.86,27.78,25.11,400.12,378.14,26.363,28.091,79.74,84.96,499.7,1778,1805,101.2,-9.77,0.0635,0.3,111115
2015,8,4,12.3,Auxerrois,2,11:19:21,48.5,18.4,0.194,213,1.67,0.897,6,1,2.84,25.86,27.86,25.1,400.08,377.29,26.392,28.337,79.81,85.69,499.7,1798,1915,101.2,-9.77,0.0635,0.3,111115
2015,8,4,12.3,Auxerrois,3,11:19:31,58.5,18.5,0.212,224,1.79,0.886,6,1,2.84,25.86,27.89,25.11,400.01,376.99,26.421,28.505,79.88,86.19,499.7,1800,1845,101.2,-9.77,0.0635,0.3,111115
2015,8,4,12.3,Auxerrois,4,11:19:41,69,18.6,0.227,232,1.87,0.872,6,1,2.84,25.86,27.89,25.11,400.04,376.85,26.469,28.65,80.02,86.61,499.7,1800,1710,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,5,11:19:52,79.5,18.6,0.236,237,1.92,0.863,6,1,2.84,25.86,27.9,25.11,399.88,376.66,26.517,28.76,80.15,86.93,499.7,1800,1688,101.2,-9.77,0.0635,0.7,111115
2015,8,4,12.3,Auxerrois,6,11:20:02,90,18.8,0.242,239,1.95,0.855,6,1,2.84,25.87,27.9,25.11,399.84,376.45,26.57,28.839,80.31,87.17,499.7,1800,1655,101.2,-9.77,0.0635,0.7,111115
2015,8,4,12.3,Auxerrois,7,11:20:13,100.5,18.7,0.251,244,2,0.851,6,1,2.84,25.86,27.92,25.1,399.68,376.32,26.585,28.92,80.37,87.43,499.7,1800,1567,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,8,11:20:23,111,18.6,0.263,250,2.06,0.838,6,1,2.84,25.86,27.89,25.11,399.58,376.31,26.582,28.983,80.37,87.63,499.7,1800,1588,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,9,11:20:33,121,18.8,0.263,249,2.05,0.836,6,1,2.84,25.86,27.9,25.11,399.6,376.15,26.622,29.017,80.48,87.72,499.7,1800,1639,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,10,11:20:44,131.5,18.7,0.265,249,2.06,0.832,6,1,2.84,25.86,27.9,25.11,399.45,376.02,26.662,29.062,80.6,87.86,499.7,1800,1754,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,11,11:20:54,141.5,18.8,0.269,251,2.08,0.827,6,1,2.84,25.86,27.89,25.11,399.37,375.88,26.676,29.096,80.65,87.97,499.7,1800,1758,101.2,-9.77,0.0635,1,111115
2015,8,4,12.3,Auxerrois,12,11:21:20,168.5,18.5,0.272,254,2.06,0.813,6,1,2.84,25.85,27.83,25.11,398.94,375.75,26.701,29.108,80.79,88.07,499.8,1802,1799,101.2,-9.72,0.0333,1,111115
2015,8,4,12.3,Auxerrois,13,11:21:30,178.5,18.7,0.272,252,2.07,0.813,6,1,2.84,25.84,27.84,25.11,399.09,375.66,26.712,29.12,80.86,88.15,499.7,1801,1774,101.2,-9.72,0.0333,1,111115
2015,8,4,12.3,Auxerrois,14,11:21:41,189,18.6,0.275,254,2.07,0.809,6,1,2.84,25.83,27.83,25.11,398.85,375.55,26.722,29.138,80.93,88.24,499.7,1801,1418,101.2,-9.72,0.0333,1,111115
