ID,year,month,day,row_plant,variety ,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
beth-0615-12-3,2015,6,15,12-3,Auxerrois,1,11:43:19,68.5,6.53,0.0629,218,0.703,1.12,6,1,2.84,25.7,26.86,25.11,401.03,392.86,23.316,24.139,70.9,73.4,499.7,1780,1380,100.8,-4.61,0.0969,1,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,2,11:43:29,78.5,6.6,0.0651,222,0.736,1.13,6,1,2.84,25.71,26.94,25.11,401.21,392.93,23.306,24.168,70.82,73.45,499.7,1799,1383,100.8,-4.61,0.0969,1,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,3,11:43:39,88.5,6.49,0.0668,229,0.755,1.13,6,1,2.84,25.71,26.95,25.11,401.28,393.13,23.3,24.185,70.79,73.47,499.7,1800,1382,100.8,-4.61,0.0969,0.7,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,4,11:43:50,99,6.55,0.069,232,0.782,1.13,6,1,2.84,25.73,26.98,25.12,401.47,393.23,23.286,24.202,70.7,73.48,499.7,1799,1383,100.8,-4.61,0.0969,1,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,5,11:44:00,109.5,6.58,0.0691,232,0.788,1.14,6,1,2.84,25.74,27.02,25.1,401.52,393.25,23.289,24.212,70.66,73.47,499.7,1800,1380,100.8,-4.61,0.0969,1,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,6,11:44:11,120,6.51,0.0681,232,0.775,1.14,6,1,2.84,25.73,27.01,25.1,401.66,393.47,23.317,24.226,70.76,73.52,499.7,1801,1383,100.8,-4.61,0.0969,0.7,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,7,11:44:21,130.5,5.86,0.0688,248,0.781,1.14,6,1,2.84,25.73,27,25.1,400.06,392.66,23.329,24.244,70.8,73.57,499.7,1801,1385,100.8,-4.61,0.0969,0.7,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,8,11:44:32,141,6.44,0.0692,234,0.785,1.14,6,1,2.84,25.73,26.99,25.1,400.23,392.12,23.312,24.231,70.76,73.55,499.7,1800,1382,100.8,-4.61,0.0969,0.7,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,9,11:44:52,162,6.24,0.0795,258,0.882,1.12,6,1,2.84,25.73,26.95,25.12,400.5,392.59,23.312,24.346,70.75,73.89,499.7,1799,1386,100.8,-4.23,0.205,0.7,111115
beth-0615-12-3,2015,6,15,12-3,Auxerrois,10,11:45:03,172.5,6.14,0.0789,259,0.873,1.11,6,1,2.84,25.74,26.94,25.11,400.5,392.72,23.324,24.347,70.76,73.86,499.7,1799,1389,100.8,-4.23,0.205,1,111115
