"month","day","row_plant","variety","Photo","Cond","wue"
4,24,"42.7","Early_Muscat",8.17,0.0365,223.835616438356
4,24,"42.7","Early_Muscat",8.16,0.0386,211.39896373057
4,24,"42.7","Early_Muscat",7.92,0.0394,201.015228426396
4,24,"42.7","Early_Muscat",7.88,0.0409,192.665036674817
4,24,"40.10","Ruby_Cabernet",12.4,0.103,120.388349514563
4,24,"40.10","Ruby_Cabernet",12.4,0.107,115.88785046729
4,24,"40.10","Ruby_Cabernet",12.4,0.107,115.88785046729
4,24,"40.10","Ruby_Cabernet",12.4,0.107,115.88785046729
4,24,"44.1","Ruby_Seedless",15.6,0.183,85.2459016393443
4,24,"44.1","Ruby_Seedless",15.5,0.19,81.5789473684211
4,24,"44.1","Ruby_Seedless",15.3,0.194,78.8659793814433
4,24,"44.1","Ruby_Seedless",15.4,0.196,78.5714285714286
4,24,"39.3","Calzin",15.9,0.208,76.4423076923077
4,24,"39.3","Calzin",16,0.214,74.7663551401869
4,24,"39.3","Calzin",16,0.218,73.394495412844
4,24,"39.3","Calzin",15.9,0.219,72.6027397260274
4,24,"39.3","Calzin",15.9,0.219,72.6027397260274
4,24,"34.7","Palomino",12.3,0.105,117.142857142857
4,24,"34.7","Palomino",12.3,0.111,110.810810810811
4,24,"34.7","Palomino",12.3,0.115,106.95652173913
4,24,"34.7","Palomino",12.3,0.119,103.361344537815
4,24,"34.5","Morrastel",15.6,0.184,84.7826086956522
4,24,"34.5","Morrastel",15.8,0.185,85.4054054054054
4,24,"34.5","Morrastel",15.9,0.187,85.0267379679144
4,24,"34.5","Morrastel",15.3,0.182,84.0659340659341
4,24,"34.5","Morrastel",15.4,0.181,85.0828729281768
4,24,"26.5","Sangiovese",16.3,0.149,109.395973154362
4,24,"26.5","Sangiovese",16.2,0.153,105.882352941176
4,24,"26.5","Sangiovese",15.9,0.157,101.273885350318
4,24,"26.5","Sangiovese",16,0.157,101.910828025478
4,24,"25.10","Nebbiolo",10.9,0.0907,120.176405733186
4,24,"25.10","Nebbiolo",11,0.0984,111.788617886179
4,24,"25.10","Nebbiolo",11,0.102,107.843137254902
4,24,"25.10","Nebbiolo",10.8,0.105,102.857142857143
4,24,"25.10","Nebbiolo",11.1,0.107,103.738317757009
4,24,"24.9","Dolcetto",14.4,0.129,111.627906976744
4,24,"24.9","Dolcetto",14.5,0.134,108.208955223881
4,24,"24.9","Dolcetto",14.3,0.138,103.623188405797
4,24,"24.9","Dolcetto",14.3,0.139,102.877697841727
4,24,"24.9","Dolcetto",14.2,0.139,102.158273381295
4,24,"24.9","Dolcetto",14.2,0.141,100.709219858156
4,24,"23.7","Szagos_feher",14.3,0.172,83.1395348837209
4,24,"23.7","Szagos_feher",14.4,0.174,82.7586206896552
4,24,"23.7","Szagos_feher",14.2,0.173,82.0809248554913
4,24,"23.7","Szagos_feher",14.4,0.172,83.7209302325581
4,24,"22.7","Furmint",13.9,0.171,81.2865497076023
4,24,"22.7","Furmint",14.1,0.178,79.2134831460674
4,24,"22.7","Furmint",14,0.182,76.9230769230769
4,24,"22.7","Furmint",14.2,0.186,76.3440860215054
4,24,"22.7","Furmint",14,0.189,74.0740740740741
4,24,"22.7","Furmint",14,0.189,74.0740740740741
4,24,"20.5","Gewurtztraminer",8.25,0.0682,120.967741935484
4,24,"20.5","Gewurtztraminer",8.6,0.0704,122.159090909091
4,24,"20.2","Valdepenas",10.9,0.158,68.9873417721519
4,24,"20.2","Valdepenas",11.1,0.159,69.811320754717
4,24,"20.2","Valdepenas",11,0.158,69.620253164557
4,24,"20.2","Valdepenas",11.2,0.158,70.8860759493671
4,24,"20.2","Valdepenas",11,0.156,70.5128205128205
4,24,"20.2","Valdepenas",11,0.155,70.9677419354839
4,24,"20.2","Valdepenas",11.3,0.155,72.9032258064516
4,24,"20.2","Valdepenas",11.1,0.153,72.5490196078431
4,24,"20.2","Valdepenas",11,0.151,72.8476821192053
4,24,"19.9","Syrah",10.9,0.134,81.3432835820896
