"","year","month","day","row_plant","variety","Obs","HHMMSS","FTime","Photo","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","Status","unique"
"1",2015,4,24,"44.1","Ruby_Seedless",3,13:17:49,39.5,15.6,0.183,229,2.56,1.46,6,1,2.84,25.12,25.83,25.02,400.06,380.16,15.514,18.524,49.03,58.55,500.2,1799,1909,101.2,0.243,-1.44,0.7,111115,"44.1_4_24"
"2",2015,4,24,"44.1","Ruby_Seedless",4,13:17:59,50,15.5,0.19,234,2.63,1.46,6,1,2.84,25.12,25.82,25.02,399.99,380.16,15.489,18.583,48.96,58.74,500.2,1800,1929,101.2,0.243,-1.44,1,111115,"44.1_4_24"
"3",2015,4,24,"44.1","Ruby_Seedless",5,13:18:09,60.5,15.3,0.194,239,2.68,1.45,6,1,2.84,25.11,25.8,25.02,399.88,380.25,15.448,18.597,48.86,58.82,500.2,1800,1833,101.2,0.243,-1.44,1,111115,"44.1_4_24"
"4",2015,4,24,"44.1","Ruby_Seedless",6,13:18:20,71,15.4,0.196,240,2.71,1.46,6,1,2.84,25.11,25.83,25.02,399.89,380.19,15.405,18.594,48.72,58.81,500.2,1801,1886,101.2,0.243,-1.44,1,111115,"44.1_4_24"
"5",2015,4,24,"12.5","Chardonnay",3,13:26:49,36,12.5,0.109,186,1.94,1.82,6,1,2.84,25.36,27.12,25.02,400.39,384.52,15.324,17.607,47.75,54.86,500.2,1799,1776,101.2,0.0146,-1.25,0.7,111115,"12.5_4_24"
"6",2015,4,24,"12.5","Chardonnay",4,13:27:00,46.5,12.3,0.11,191,1.96,1.83,6,1,2.84,25.36,27.16,25.02,400.27,384.62,15.324,17.633,47.75,54.95,500.2,1798,1770,101.2,0.0146,-1.25,1,111115,"12.5_4_24"
"7",2015,4,24,"12.5","Chardonnay",5,13:27:10,56.5,12.3,0.109,190,1.94,1.83,6,1,2.84,25.35,27.14,25.02,400.41,384.78,15.319,17.608,47.76,54.9,500.3,1800,1766,101.2,0.0146,-1.25,1,111115,"12.5_4_24"
"8",2015,4,24,"12.5","Chardonnay",6,13:27:20,67,12.1,0.108,191,1.92,1.83,6,1,2.84,25.35,27.15,25.02,400.38,385.04,15.317,17.585,47.77,54.84,500.3,1800,1773,101.2,0.0146,-1.25,0.7,111115,"12.5_4_24"
"9",2015,4,24,"12.5","Chardonnay",7,13:27:30,77,12,0.105,189,1.89,1.84,6,1,2.84,25.35,27.17,25.02,400.39,385.17,15.319,17.551,47.76,54.72,500.2,1800,1779,101.2,0.0146,-1.25,1,111115,"12.5_4_24"
"10",2015,4,24,"12.3","Auxerrois",3,13:22:47,38,11.5,0.0776,135,1.39,1.82,6,1,2.84,25.39,26.85,25.02,400.13,385.67,15.401,17.046,47.91,53.03,500.1,1800,1884,101.2,0.243,-1.44,0.7,111115,"12.3_4_24"
"11",2015,4,24,"12.3","Auxerrois",4,13:22:58,48.5,11.7,0.0819,144,1.47,1.82,6,1,2.84,25.4,26.89,25.02,400.34,385.66,15.416,17.149,47.93,53.31,500.2,1799,1884,101.2,0.243,-1.44,1,111115,"12.3_4_24"
"12",2015,4,24,"12.3","Auxerrois",5,13:23:08,59,11.6,0.0837,150,1.5,1.82,6,1,2.84,25.41,26.93,25.02,400.26,385.61,15.421,17.195,47.9,53.41,500.1,1799,1884,101.2,0.243,-1.44,1,111115,"12.3_4_24"
