Variety_name,Individual,C13,C,N,C.N,mean_stom,stom_den,SPI
Aligote,12.1,-30.1,1.8,42,23.5,20.8803,140.9324123,6.187168584
Aligote,12.2,-31.3,2,41,20.4,17.1323,150.8805826,4.452781697
Chardonnay,12.5,-29.9,2,41,20.4,18.2817,164.9738238,5.513341163
Chardonnay,12.6,NA,NA,NA,NA,17.15,182.3831218,5.373275036
Gamay_Noir,12.7,-26.9,1.6,41.2,25.5,18.9791,128.4971995,4.627324037
Gamay_Noir,12.8,NA,NA,NA,NA,18.8909,150.8805826,5.158822237
Pinot_gris,13.3,-28.5,1.9,42,22.2,18.3002,183.212136,6.125682759
Pinot_gris,13.4,NA,NA,NA,NA,NA,NA,NA
Pinot_Muenier,13.5,NA,NA,NA,NA,NA,NA,NA
Pinot_Muenier,13.6,NA,NA,NA,NA,NA,NA,NA
Pinot_noir,13.7,NA,NA,NA,NA,NA,NA,NA
Pinot_noir,13.8,-28.3,1.9,40.7,21.9,17.7797,161.6577671,5.114397584
Cabernet_franc,13.9,-29.9,1.8,42.1,24,18.5993,112.7459299,3.994518567
Cabernet_franc,13.1,NA,NA,NA,NA,16.8516,139.2743839,3.955064131
Cabernet_Sauvignon,14.1,-28.8,2,41.9,21.1,14.5397,135.9583272,2.867884629
Cabernet_Sauvignon,14.2,NA,NA,NA,NA,NA,NA,NA
Carmenere,14.3,-29.2,2.1,44.5,21,17.9874,83.7304332,2.702478319
Carmenere,14.4,NA,NA,NA,NA,18.7694,105.2848021,3.708675077
Merlot,15.3,-29.2,2.1,42.6,20.2,15.8837,157.5126961,3.970069027
Merlot,15.4,-29.5,1.7,35.1,20.1,18.2154,116.0619866,3.854230639
Mus,15.5,NA,NA,NA,NA,NA,NA,NA
Mus,15.6,-28.7,1.9,43.4,23,18.3342,139.2743839,4.690780591
Sauvignon_blanc,16.1,-29.2,1.9,40.7,21.9,17.4902,140.1033981,4.267122383
Sauvignon_blanc,16.2,NA,NA,NA,NA,15.2816,138.4453698,3.224234267
Ung,17.1,NA,NA,NA,NA,NA,NA,NA
Ung,17.2,-29.1,2.5,39.6,15.9,18.7864,110.2588873,3.891167139
Alicante_Bouschet,17.3,-27,1.8,41.8,23.8,NA,NA,NA
Alicante_Bouschet,17.4,NA,NA,NA,NA,16.1117,137.6163556,3.579232555
Car,17.9,-30.9,1.9,40.4,21.7,16.6181,128.4971995,3.57420293
Car,17.1,NA,NA,NA,NA,NA,NA,NA
Cinsault,18.1,-30.8,2.1,41.3,19.4,17.4781,136.7873414,4.17935778
Cinsault,18.2,NA,NA,NA,NA,18.6126,143.4194549,5.005104619
Counoise,18.3,-28.8,1.6,43.6,26.7,15.5865,136.7873414,3.3455004
Counoise,18.4,NA,NA,NA,NA,14.4093,179.8960793,3.71653594
Durif,18.5,NA,NA,NA,NA,NA,NA,NA
Durif,18.6,NA,NA,NA,NA,NA,NA,NA
Marsanne,18.7,-30.3,1.5,40.8,27.3,13.8791,202.2794624,3.898835972
Marsanne,18.8,NA,NA,NA,NA,14.5457,189.0152353,3.967308438
Roussanne,19.7,-30.2,1.8,43.4,23.6,15.6199,171.6059374,4.212829048
Roussanne,19.8,NA,NA,NA,NA,13.5022,196.4763631,3.623472645
Syrah,19.9,-27.7,2.4,43.8,18.6,13.3145,190.6732637,3.435812788
Syrah,19.1,-29.4,2,42.5,21.6,NA,NA,NA
Valdepenas,20.1,NA,NA,NA,NA,NA,NA,NA
Valdepenas,20.2,-30.4,1.8,42,23.3,16.2867,169.1188948,4.5468385
Viognier,20.3,NA,NA,NA,NA,14.6575,132.6422704,2.860970166
Viognier,20.4,-27.8,1.7,40.9,24.2,16.5342,165.802838,4.517123775
Gewurtztraminer,20.5,NA,NA,NA,NA,15.9802,249.5332712,6.400969706
Gewurtztraminer,20.6,-29.1,1.7,43.7,25.2,14.8775,149.2225542,3.312719609
Chasselas_doree,21.7,-26.3,2.6,46.5,17.7,20.6551,130.1552279,5.503954099
Chasselas_doree,21.8,NA,NA,NA,NA,20.2639,121.0360718,4.970348684
Gruner_Veltiner,21.9,-31.3,1.8,42.1,23.9,16.7353,190.6732637,5.341428773
Gruner_Veltiner,21.1,-30.6,2.4,43.2,18.2,16.2067,159.1707245,4.185938624
Rotgipfler,22.1,-28.6,1.5,42.1,28.1,13.9379,145.9064975,2.956473884
Rotgipfler,22.2,NA,NA,NA,NA,NA,NA,NA
Szagos_feher,23.7,-29.1,1.7,41.8,24.1,15.0903,196.4763631,4.456526506
Szagos_feher,23.8,NA,NA,NA,NA,12.8007,189.0152353,3.09243486
Barbera,24.1,-31.2,2,40.3,20,14.1757,194.8183347,3.941118942
Barbera,24.2,-29.9,2,41.5,20.9,15.1634,162.4867813,3.79777946
Dolcetto,24.9,-30.3,2,42.5,21.2,15.4394,138.4453698,3.304774152
Dolcetto,24.1,NA,NA,NA,NA,15.7313,106.1138163,2.626923327
Mal,25.5,NA,NA,NA,NA,NA,NA,NA
Mal,25.6,-29.1,1.6,38.2,23.5,12.122,138.4453698,2.044599161
Nebbiolo,25.9,-28.6,1.4,42.9,31.3,13.0988,126.0101569,2.162064145
Nebbiolo,25.1,NA,NA,NA,NA,17.0218,154.1966394,4.47722617
Sangiovese,26.5,-27.4,1.8,41.9,22.7,13.8832,159.9997387,3.082302972
Sangiovese,26.6,NA,NA,NA,NA,NA,NA,NA
Cod,27.1,-29.6,1.4,42.5,30.2,12.3595,228.8079165,3.480295771
Cod,27.2,NA,NA,NA,NA,NA,NA,NA
Refosco,28.7,-28.5,2.1,42.6,20.2,15.1283,157.5126961,3.596194712
Refosco,28.8,NA,NA,NA,NA,15.31,134.3002988,3.149890487
San,29.1,-29.1,1.9,43.3,23.2,13.835,121.0360718,2.316717862
San,29.2,NA,NA,NA,NA,NA,NA,NA
Schiopettino,29.3,-29.8,1.8,42.7,23.2,14.9983,148.39354,3.3156214
Schiopettino,29.4,NA,NA,NA,NA,16.0715,137.6163556,3.548468455
Toc,29.7,-28.2,2,42.2,21.6,13.5902,140.9324123,2.599653679
Toc,29.8,NA,NA,NA,NA,16.1461,229.6369307,6.005135202
Zinfandel/Primitivo,32.3,-29.3,1.8,41.6,22.6,15.0113,196.4763631,4.432375635
Zinfandel/Primitivo,32.4,NA,NA,NA,NA,17.4724,186.5281928,5.721314985
Rka,32.5,-30.6,2,42.4,21.2,16.4301,261.9684841,7.109981139
Rka,32.6,NA,NA,NA,NA,15.0652,192.3312921,4.365155834
Pinotage,32.7,NA,NA,NA,NA,14.5839,180.7250934,3.844755387
Pinotage,32.8,-29.4,2.1,42,19.9,14.3983,194.8183347,4.034691038
Macabeo,34.1,-28.4,1.5,41.1,27.5,14.3929,219.6887604,4.561055921
Macabeo,34.2,NA,NA,NA,NA,18.1513,182.3831218,5.959278309
Morrestal,34.5,-28.5,2,44.7,22.1,18.9459,216.3727036,7.759066115
Morrestal,34.6,NA,NA,NA,NA,NA,NA,NA
Pal,34.7,-28.5,1.6,42,26.8,20.1739,169.947909,7.004155134
Pal,34.8,NA,NA,NA,NA,NA,NA,NA
Tempranillo,35.3,-30.8,2.3,40.7,18,18.2583,155.8546677,5.191144272
Tempranillo,35.4,NA,NA,NA,NA,NA,NA,NA
Ver,38.7,-30.9,2.1,41.9,19.9,20.6099,159.9997387,6.800835942
Ver,38.8,-29.4,1.9,41.2,21.6,NA,NA,NA
Cal,39.3,-29.5,1.9,45.2,23.9,19.1799,151.7095968,5.563059837
Cal,39.4,NA,NA,NA,NA,NA,NA,NA
Carnelian,39.7,-29.4,1.9,41.1,21.8,21.7202,132.6422704,6.470860535
Carnelian,39.8,NA,NA,NA,NA,NA,NA,NA
Rub,40.9,-29.1,2.4,44.9,18.9,14.7335,261.1394699,5.744255708
Rub,40.1,-31.3,2.9,40.1,13.6,15.9244,160.8287529,4.081797522
Early_Muscat,42.7,-27.9,1.5,41.2,27.6,20.4209,143.4194549,5.9803015
