Variety_name,Individual,C13,C,N,C:N,stom_length_1.1,stom_length_1.2,stom_length_1.3,stom_length_1.4,stom_length_1.5,image_area_1,stom_number_1,stom_length_2.1,stom_length_2.2,stom_length_2.3,stom_length_2.4,stom_length_2.5,image_area_2,stom_number_2
Alicante_Bouschet,17.3,-27,1.8,41.8,23.8,,,,,,,,,,,,,,
Alicante_Bouschet,17.4,,,,,15.636,17.43,15.459,17.482,13.862,0.603125985,74,12.231,11.635,16.941,22.237,18.204,0.603125985,92
Aligote,12.1,-30.1,1.8,42,23.5,25.756,22.444,17.106,17.522,24.134,0.603125985,96,29.922,23.018,15.724,19.123,14.054,0.603125985,74
Aligote,12.2,-31.3,2,41,20.4,15.791,20.25,19.912,18.76,16.409,0.603125985,92,14.225,15.495,17.304,16.986,16.191,0.603125985,90
Barbera,24.1,-31.2,2,40.3,20,12.384,19.513,13.165,15.843,15.482,0.603125985,118,13.054,13.5,13.823,13.888,11.105,0.603125985,117
Barbera,24.2,-29.9,2,41.5,20.9,16.73,16.421,18.825,12.752,14.639,0.603125985,113,15.764,16.807,11.477,10.299,17.92,0.603125985,83
Cabernet_franc,13.9,-29.9,1.8,42.1,24,17.602,17.966,11.497,18.294,21.413,0.603125985,58,22.122,20.51,17.018,23.18,16.391,0.603125985,78
Cabernet_franc,13.1,,,,,17.68,17.883,16.591,13.333,18.771,0.603125985,84,,,,,,,
Cabernet_Sauvignon,14.1,-28.8,2,41.9,21.1,11.04,14.924,15.066,13.391,13.748,0.603125985,86,14.701,12.361,18.856,15.744,15.566,0.603125985,78
Cabernet_Sauvignon,14.2,,,,,,,,,,,,,,,,,,
Cal,39.3,-29.5,1.9,45.2,23.9,17.622,17.044,17.609,20.065,15.846,0.603125985,97,22.073,22.355,20.495,21.387,17.303,0.603125985,86
Cal,39.4,,,,,,,,,,,,,,,,,,
Car,17.9,-30.9,1.9,40.4,21.7,22.169,14.933,21.954,16.21,12.066,0.603125985,81,16.775,16.42,13.735,12.518,19.401,0.603125985,74
Car,17.1,,,,,,,,,,,,,,,,,,
Carmenere,14.3,-29.2,2.1,44.5,21,14.996,19.431,23.87,17.353,18.36,0.603125985,48,20.184,15.681,14.007,20.996,14.996,0.603125985,53
Carmenere,14.4,,,,,22.127,17.7,17.472,16.56,20.218,0.603125985,62,19.338,18.542,17.925,17.522,20.29,0.603125985,65
Carnelian,39.7,-29.4,1.9,41.1,21.8,25.951,29.439,20,22.148,21.128,0.603125985,91,16.842,21.219,18.071,20.373,22.031,0.603125985,69
Carnelian,39.8,,,,,,,,,,,,,,,,,,
Chardonnay,12.5,-29.9,2,41,20.4,15.287,21.346,14.219,18.979,19.078,0.603125985,101,20.879,16.117,20.123,17.301,19.488,0.603125985,98
Chardonnay,12.6,,,,,14.703,22.113,15.477,17.092,11.992,0.603125985,111,16.489,16.002,18.329,22.894,16.409,0.603125985,109
Chasselas_doree,21.7,-26.3,2.6,46.5,17.7,24.029,18.358,23.791,20.834,21.867,0.603125985,70,24.663,16.897,20.299,15.753,20.06,0.603125985,87
Chasselas_doree,21.8,,,,,21.534,19.316,20.626,17.713,21.347,0.603125985,73,19.994,22.486,19.05,16.825,23.748,0.603125985,73
Cinsault,18.1,-30.8,2.1,41.3,19.4,17.63,13.408,16.433,19.471,20.383,0.603125985,73,15.675,13.461,23.387,17.111,17.822,0.603125985,92
Cinsault,18.2,,,,,14.755,20.559,19.486,20.651,14.612,0.603125985,78,18.503,20.987,17.994,21.994,16.585,0.603125985,95
Cod,27.1,-29.6,1.4,42.5,30.2,12.326,8.889,16.85,14.984,10.375,0.603125985,125,11.344,14.365,9.092,11.755,13.615,0.603125985,151
Cod,27.2,,,,,,,,,,,,,,,,,,
Counoise,18.3,-28.8,1.6,43.6,26.7,21.387,11.209,14.413,16.114,21.698,0.603125985,82,14.309,14.883,10.211,14.034,17.607,0.603125985,83
Counoise,18.4,,,,,15.174,7.52,20.954,14.253,10.95,0.603125985,117,12.729,19.247,15.157,15.129,12.98,0.603125985,100
