PlantID,Variety,Region,LeafPotential1,LeafPotential2,LeafPotential3,LeafPotential4,LeafPotential5,LeafPotential6,LeafPotential7,StemPotential4,,,,,,,,,,,,,,,
12.3,Auxerrois,Burgundy,9.5,6,8.3,11.0,11.4,12.9,10.1,8.1,,,,,,,,,,,,,,,
12.4,Auxerrois,Burgundy,5.1,5.2,9.1,12.0,12.9,13.3,11.1,9.0,,,,,,,,,,,,,,,
12.5,Chardonnay,Burgundy,3.5,5.1,9.0,16.0,15.2,14.5,11.3,10.5,,,,,,,,,,,,,,,
12.6,Chardonnay,Burgundy,4.0,4.9,7.9,11.5,14.1,11.5,7.5,8.0,,,,,,,,,,,,,,,
12.7,Gamay Noir,Burgundy,4.0,6.5,7.4,14.0,12.4,12.5,6.1,10.0,,,,,,,,,,,,,,,
12.8,Gamay Noir,Burgundy,6.0,7.2,8.1,11.5,12.1,10.3,8.0,7.5,,,,,,,,,,,,,,,
13.3,Pinot gris,Burgundy,5.0,7.0,9.5,12.5,11.4,10.9,6.0,9.5,,,,,,,,,,,,,,,
13.4,Pinot gris,Burgundy,5.0,6.9,10.9,12.0,12.2,9.5,5.0,10.0,,,,,,,,,,,,,,,
13.5,Pinot Meunier,Burgundy,6.0,7.8,8.7,12.8,10.9,7.5,6.5,7.0,,,,,,,,,,,,,,,
13.6,Pinot Meunier,Burgundy,5.0,4.6,8.2,9.8,10.5,10.9,5.0,7.0,,,,,,,,,,,,,,,
13.7,Pinot noir,Burgundy,4.0,5.9,9.5,11.0,11.1,10.9,5.5,6.5,,,,,,,,,,,,,,,
13.8,Pinot noir,Burgundy,5.0,5.3,9.1,13.0,12.9,11.9,4.5,8.0,,,,,,,,,,,,,,,
13.9,Cabernet franc,Bordeaux,5.5,6.4,8.6,13.2,11.9,11.9,6.5,8.1,,,,,,,,,,,,,,,
13.10,Cabernet franc,Bordeaux,6.0,5.5,9.2,15.0,12.0,12.0,5.5,10.5,,,,,,,,,,,,,,,
14.1,Cabernet Sauvignon,Bordeaux,5.0,7.2,8.1,12.0,12.6,12.1,5.5,10.0,,,,,,,,,,,,,,,
14.2,Cabernet Sauvignon,Bordeaux,5.0,6.8,10.4,12.1,11.1,10.5,7.0,9.5,,,,,,,,,,,,,,,
14.3,Carmenere,Bordeaux,5.5,6.8,9.1,13.5,11.9,13.5,5.0,9.0,,,,,,,,,,,,,,,
14.4,Carmenere,Bordeaux,4.5,6.5,9.5,14.0,8.8,12.1,5.5,8.5,,,,,,,,,,,,,,,
15.3,Merlot,Bordeaux,5.5,6.9,10.2,19.0,14.8,10.5,5.0,10.0,,,,,,,,,,,,,,,
15.4,Merlot,Bordeaux,5.0,6.9,10.5,15.5,12.0,11.1,6.0,10.5,,,,,,,,,,,,,,,
16.1,Sauvignon blanc,Bordeaux,5.0,7.2,7.5,12.5,11.8,12.1,7.5,10.1,,,,,,,,,,,,,,,
16.2,Sauvignon blanc,Bordeaux,4.0,6.8,7.2,14.5,12.3,11.0,6.0,11.0,,,,,,,,,,,,,,,
17.1,Durif/Petit syrah,Bordeaux,4.5,7.9,8.5,11.0,12.8,11.9,6.5,6.5,,,,,,,,,,,,,,,
17.2,Ugni blanc/Trebbiano,Bordeaux,4.5,7.0,9.9,14.5,12.9,12.6,6.5,9.5,,,,,,,,,,,,,,,
17.9,Carignane,Rhone,5.0,5.9,10.4,17.0,13.5,11.5,6.5,11.0,,,,,,,,,,,,,,,
17.10,Carignane,Rhone,5.5,6.5,11.5,17.5,14.0,10.5,7.2,10.5,,,,,,,,,,,,,,,
18.5,Durif/Petit syrah,Rhone,4.5,6.0,9.2,12.0,14.4,11.9,6.0,8.0,,,,,,,,,,,,,,,
18.6,Durif/Petit syrah,Rhone,5.5,6.9,10.2,13.5,12.1,10.9,5.5,9.0,,,,,,,,,,,,,,,
18.7,Marsanne,Rhone,5.5,6.6,9.8,14.1,11.3,10.5,5.5,10.0,,,,,,,,,,,,,,,
18.8,Marsanne,Rhone,5.0,6.9,10.4,15.0,12.7,11.5,5.5,9.0,,,,,,,,,,,,,,,
19.9,Syrah,Rhone,6.0,9.5,13.2,15.0,17.6,11.5,7.0,10.0,,,,,,,,,,,,,,,
19.10,Syrah,Rhone,6.5,9.5,11.5,13.5,17.0,11.5,6.5,10.0,,,,,,,,,,,,,,,
20.2,Valdepenas,Rhone,5.0,8.5,9.0,12.0,10.6,11.1,5.5,8.5,,,,,,,,,,,,,,,
20.5,Gewurztraminer,Germany,6.0,8.0,8.5,13.0,12.1,9.1,4.25,6.0,,,,,,,,,,,,,,,
20.6,Gewurztraminer,Germany,6.5,7.5,12.0,12.5,12.5,12.0,6.0,6.8,,,,,,,,,,,,,,,
22.7,Furmint,Hungary,5.0,9.0,9.0,9.0,12.8,9.5,4.5,11.5,,,,,,,,,,,,,,,
22.8,Furmint,Hungary,5.5,7.5,7.0,12.0,12.9,8.5,4.5,6.5,,,,,,,,,,,,,,,
23.7,Szagos feher,Hungary,5.0,8.0,15.0,12.0,15.5,9.2,6.5,6.0,,,,,,,,,,,,,,,
23.8,Szagos feher,Hungary,4.5,9.5,8.0,11.0,14.5,9.1,5.0,6.0,,,,,,,,,,,,,,,
24.1,Barbera,Northern Italy,2.5,7.5,8.5,14.0,14.0,10.9,6.0,6.5,,,,,,,,,,,,,,,
24.2,Barbera,Northern Italy,2.5,8.5,9.5,10.0,15.0,10.4,4.9,8.0,,,,,,,,,,,,,,,
24.9,Dolcetto,Northern Italy,5.0,8.0,7.0,10.0,12.0,11.4,6.0,4.5,,,,,,,,,,,,,,,
24.10,Dolcetto,Northern Italy,4.0,7.5,11.0,9.0,13.0,10.9,7.0,7.0,,,,,,,,,,,,,,,
25.9,Nebbiolo,Northern Italy,4.0,7.0,9.0,11.0,12.0,10.9,4.5,4.0,,,,,,,,,,,,,,,
25.10,Nebbiolo,Northern Italy,3.5,7.0,9.0,12.5,14.0,9.8,6.0,6.0,,,,,,,,,,,,,,,
26.5,Sangiovese,Northern Italy,3.5,7.5,10.0,13.0,19.0,10.9,7.1,6.0,,,,,,,,,,,,,,,
26.6,Sangiovese,Northern Italy,3.5,7.5,7.5,10.75,16.0,11.2,8.2,5.0,,,,,,,,,,,,,,,
32.3,Zinfandel/Primitivo,Southern Italy,3.0,8.0,7.5,9.5,11.7,10.5,7.0,5.0,,,,,,,,,,,,,,,
32.4,Zinfandel/Primitivo,Southern Italy,4.5,7.0,9.5,8.0,17.0,12.5,6.5,5.0,,,,,,,,,,,,,,,
34.5,Morrastel,Spain,4,6.0,9.5,10.0,12.4,13.2,6.5,6.5,,,,,,,,,,,,,,,
34.6,Morrastel,Spain,4.5,6.5,11.0,8.0,11.6,9.5,6.2,5.0,,,,,,,,,,,,,,,
34.7,Palomino,Spain,2.0,7.0,7.0,10.5,10.1,9.5,8.0,7.0,,,,,,,,,,,,,,,
34.8,Palomino,Spain,3.5,7.0,8.0,9.0,9.9,10.1,6.5,5.5,,,,,,,,,,,,,,,
38.7,Verdelho,Portugal,4.0,7.5,7.0,10.5,7.4,15.1,5.5,4.5,,,,,,,,,,,,,,,
38.8,Verdelho,Portugal,3.0,6.5,6.5,12.0,8.5,10.1,5.5,5.0,,,,,,,,,,,,,,,
42.7,Olmo,Early Muscat,4.5,8.0,10.0,9.0,5.0,12.8,7.5,5.0,,,,,,,,,,,,,,,
42.8,Olmo,Early Muscat,4.5,6.5,9.0,7.0,12.0,12.8,6.5,7.0,,,,,,,,,,,,,,,
44.1,Olmo,Ruby Seedless,6.5,6.0,6.5,10.5,7.0,14.3,6.1,5.0,,,,,,,,,,,,,,,
44.2,Olmo,Ruby Seedless,5.5,5.5,6.5,8.0,11.0,11.0,5.0,6.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
