variety,wue_avg,leaf_potential_avg,stem_potential_avg,Leaf_area_1_avg,Leaf_area_2,leaf_weight_1_avg,photo_avg
Alicante_bouschet,56.43153527,8.25,5.75,,,863,
Aligote,74.28571429,11.9,7.5,,,813,
Auxerrois,73.16421655,8.9,6.14,16.31225,37.319,966,10.30047619
Barbera,85.0862069,5.1,6.5,,,731,
Cabernet_franc,88.23327263,7.56,5.291666667,21.55875,,792.8,16.15
Cabernet_sauvignon,75.62742425,6.975,5.566666667,17.67075,,886.4,12.9
Calzin,64.6338193,9.1,5.48,29.347,13.908,701,
Carignane,75.75972935,8.85,6.428571429,28.0886,,762.25,8.857142857
Carmenere,86.69108669,,,,,1209,16.13636364
Carnelian,39.25729443,11.5,3.5,,,502,
Chardonnay,84.78732963,8.12,5.825,23.34675,,806.25,13.09090909
Chasselas_doree,105.3545586,5.2,5.5,,,630,
Cinsault,77.04918033,9.1,5.9,,,785,
Counoise,46.15384615,7.8,2,,,757,
Dolcetto,89.28187749,9.36,6.291666667,15.31975,,690.75,
Durif,70.20539347,6.54,3.633333333,19.51966667,17.871,786.3333333,14.31428571
Early_Muscat,103.6900683,8.45,5.76,20.97433333,,781,11.40952381
Furmint,64.87827446,7.4,4.5,24.3845,,552.5,16.81428571
Gamay_noir,86.19469027,,,,,1113,7.225714286
Gewurtztraminer,68.21436641,5.6,4.5,23.726,,720.1666667,13.28571429
Gruner_Veltiner,63.15789474,5,6.4,,,,
July_Muscat,38.6167147,5,4.7,,,796,
Macabeo,83.60655738,11.2,9,,,,
Marsanne,70.34918517,7.24,5.283333333,25.32133333,,935,
Merlot,72.07142184,6.3,3.675,28.690875,,634,15.0875
Morrastel,59.378843,6.725,4.16,27.67833333,,937.5,13.803125
Muscat_Ottonel,55.66037736,6,5.8,,,,
Nebbiolo,73.34029859,8.916666667,6,20.2235,,812.3333333,
Palomino,74.81346511,7.375,4.4,30.21866667,,698.3333333,15.06875
Pinot_blanc,67.30636082,6.6,4.25,17.039,,633.2,7.041428571
Pinot_gris,82.30387394,8.325,6.175,17.704,,736.5,18.62
Pinot_meunier,55.21472393,12,3.9,,,,18.55263158
Pinot_noir,57.70293679,7.126,4.75,17.5295,,938.2,13.61428571
Pinotage,51.51515152,11,4.4,,,574,
Rkatsiteli,84.65517241,10,3.5,,,,
Rotgipfler,88.06941432,9,7.5,,,,
Roussanne,48.29059829,10,4.9,,,796,
Ruby_Cabernet,103.865805,8.65,5.51,24.38733333,,633.5,10.38333333
Ruby_Seedless,66.28495697,5.366666667,3,33.883,,734.6666667,16.43333333
Sangiovese,81.4211682,6.97,5.116666667,21.196,,827.1666667,15.87272727
Sauvignon_blanc,69.7265763,7.6,4.966666667,20.39975,,981,19.71428571
Schiopettino,53.125,10.1,4.2,,,606,
Syrah,66.74784649,8.66,5.183333333,16.871,,992,10.095
Szagos_feher,61.13795948,6.6,4.483333333,29.9835,,941.6666667,
Tempranillo,66.875,9.5,5.8,,,555,
Tocai_Friulano,53.29545455,10.9,5,,,1160,
UngniBlanc_Trebbiano,74.13207,6.133333333,4.8625,26.09666667,,734,18.88571429
Valdepenas,68.48643513,5.92,3.9,34.198,,789.5,8.702857143
Verdelho,34.68208092,10.1,5,,,579,
Voignier,80.15267176,7,5,,,971,
Zinfandel_Primitivo,66.44067797,9.9,6.9,,,586,14.12857143
(blank),92.48116531,,,,,,
